language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,unit_type,domain,licence,review_status,quality_flags,notes
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,4d11303b99725479,kit5k:12,Tom ne sait pas où il est né.,Lingala,Tom ayebi esika abotama te.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d2c239ca0e9504ed,kit5k:13,Il nous faut tous apprendre à faire face à cette situation.,Lingala,Tosengeli biso banso koyekola kolonga likambo oyo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2d9d82df2e545a82,kit5k:14,Y a-t-il des plantes auxquelles vous soyez allergiques ?,Lingala,Ezali na boko milona miboyaka nzoto na yo ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d3d6a22823a09f66,kit5k:15,Comment puis-je choisir un poisson frais?,Lingala,Motindo kani nakoki kopona mbisi ya mai ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,738735f5c777d5b0,kit5k:16,Apporte-moi sa tête.,Lingala,Memela ngai moto na ye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,0961249b87e98403,kit5k:17,Vous pouvez faire ce qui vous chante.,Lingala,Bokoki kosala oyo nyonso bolingi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7f072900bae6da3a,kit5k:18,Prends tes cachets !,Lingala,Kamata bilembo na yo !,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,591f61960b375f1b,kit5k:19,C'est un joueur de tennis.,Lingala,Azali mobeti ya lisano ya tennis.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,473d5cbf752f7ee6,kit5k:20,Son père travaille à la banque.,Lingala,Tata na ye asalaka na banke.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d3a3d655716fe7b2,kit5k:21,Il est vraiment sans cœur.,Lingala,Ye mpenza azanga mawa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8019943f3bb8a816,kit5k:22,Je n'ai pas de plaintes.,Lingala,Nazali na mitungisi te.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,51c8806c0c9c64b4,kit5k:23,Je dois m'excuser auprès de Tom.,Lingala,Nasengeli kosenga Tom bolimbisi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c3e36a894a4ef2c5,kit5k:24,Je pense sérieusement à déménager à Boston.,Lingala,Nazali kobanza ete nalongwa na Boston.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,393ba1ade77dca6c,kit5k:25,Ton amitié importe.,Lingala,Boninga na yo ezali ya motuya.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,e27cbc211e041ad9,kit5k:26,Je pense toujours que nous aurions dû inviter Tom à venir avec nous.,Lingala,Nabanzi ete esengelaki tobengisa Tom aya elongo na biso.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,ea02b92562b0e00d,kit5k:27,Il n'est pas digne de toi.,Lingala,Elongobani na yo te.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c7b3385ad85709fb,kit5k:28,Je rêvais de devenir mannequin.,Lingala,Mposa na ngai ezalaka ete nakoma maneke (momekiseli ya bilamba).,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,30d4d645e3d25eee,kit5k:29,Elle n'a que quelques années de plus que moi.,Lingala,Aleki ngai bobele na ndambo ya mibu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,6377604a67cf92d7,kit5k:30,Une compréhension des gens est l'arme la plus puissante que vous puissiez détenir.,Lingala,Boyokani ya bato yango nde mondoki ya makasi oyo bokoki kosimba.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,80ab81bd74fb7c5e,kit5k:31,Je n'ai rien de mieux à faire.,Lingala,Nazali na eloko mosusu ya malamu koleka te mpo nakosala.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,72cbc13012c8b3d4,kit5k:32,"Ne crie pas, ou tu es mort.",Lingala,"Koganga te, soki te okokufa.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d99af22e5cf50d6a,kit5k:33,Tom ne l'a fait qu'une fois.,Lingala,Tom asalaki yango kaka mbala moko.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c0de107d3de66ed0,kit5k:34,Nous nous connaissons depuis longtemps.,Lingala,Toyebanaki uta kala.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,426e24d6a7de27c8,kit5k:35,"Dans ma famille, personne n'est capable de le faire.",Lingala,"Na libota lya gai, moto moko te akoki kosala yango.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,05979fdb8c49c8d2,kit5k:36,Nous avons voyagé à travers tout le pays.,Lingala,Tosalaki mobembo na mboka mobimba.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d6133e1cd8f96cb8,kit5k:37,On m'a proposé le choix entre un thé et un café.,Lingala,Batunaki ngai namela tii to kafe.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f60619e633a31779,kit5k:38,Thomas a une photo de sa famille sur son bureau.,Lingala,Thomas azali na elili ya libota na ye na bilo na ye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,06d40267b3ad74aa,kit5k:39,On se fait à tout.,Lingala,Tomisalisaka na nyonso.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8b26cc11a6a55eea,kit5k:40,Je ne pense pas que quiconque me comprenne réellement.,Lingala,Nabanzi ete moto moko te asosoli ngai malamu mpenza.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,27e54db186188a72,kit5k:41,Je commence à comprendre.,Lingala,Nabandi kososola.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,18f452ee1ba283c8,kit5k:42,Tu as entendu un bruit derrière toi.,Lingala,Oyokaki makelele moko nsima na yo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,97e93c39c751f7a4,kit5k:43,"Tu as commis cette erreur exprès, n'est-ce pas ?",Lingala,"Osalaki libunga oyo na nkoo, boye te?",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c32fdc3acc65bf31,kit5k:44,Pourquoi as-tu pleuré ?,Lingala,Olelaki mpo na nini?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b6fcb1eda3f614f4,kit5k:45,Nous avions nos raisons.,Lingala,Tozalaki na ntina na biso.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f6f76d0b9d88c7e2,kit5k:46,Tu dois appeler Tom immédiatement.,Lingala,Osengeli kobenga Tom sikawa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c750b4032585f93a,kit5k:47,C'est déjà l'été.,Lingala,Tosili kokota na elanga.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,eab5567de1e9625c,kit5k:48,Ce n'est pas du chiqué.,Lingala,Ezali lolendo te.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8d1e6490e45bd6fd,kit5k:49,Tom ne m'a pas payé autant qu'il l'a promis.,Lingala,Tom afutaki ngai te lokola alakaki.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,175a47ad6d56d42e,kit5k:50,Ils ne peuvent me voir.,Lingala,Bakoki komona ngai te.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5fc81ecc0fd7418c,kit5k:51,Profitez de la soirée au bal.,Lingala,Zwa litomba na limpati ya nteke.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7a79da9eaf573349,kit5k:52,Des monnaies antiques furent trouvées à l'intérieur de la mystérieuse tombe.,Lingala,Misolo mya kalakala mimonanaki na kati ya nkunda ya kokamwa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7d8fa91071fc0f53,kit5k:53,Mon père m'a emmené au cinéma hier soir.,Lingala,Tata amemaki ngai na sinema lobi loleki na mpokwa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c066c59961382a45,kit5k:54,Vous pouvez choisir le livre que vous aimez.,Lingala,Okoki kopona buku oyo olingi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7c2173ad6ab64abf,kit5k:55,Tu es un bon étudiant.,Lingala,Ozali moyekoli malamu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,a47c330d9dc15171,kit5k:56,Combien en as-tu eu ?,Lingala,Ozwaki yango boni?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5337134040a977ff,kit5k:57,"Restez en ligne, s'il vous plaît.",Lingala,"Tikala na nzela ya nsinga, tosengi na yo.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,ad2445ef2c803297,kit5k:58,Nous partons maintenant.,Lingala,Tozali kokende sikawa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2fb32f704693696a,kit5k:59,Nous n'avons pas encore planifié nos vacances.,Lingala,Tobongisi naino te bopemi na biso.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,aec26f66c41d6864,kit5k:60,"Le soleil, ça fait toute la différence.",Lingala,Moyi esalaka bokeseni na nyoso.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,14f874de57724754,kit5k:61,Comment faisons-nous cela ?,Lingala,Tosala yango ndenge nini?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b6b7389addbf6d63,kit5k:62,Tu dois remettre les rapports lundi.,Lingala,Osengeli kozongisa ndimbola mokolo ya mosala moko.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5f7640744ce31601,kit5k:63,Je sais que tu te soucies de Tom.,Lingala,Nayebi ete ozali komitungisa mpo na Tom.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d51cf0e7d2e78f95,kit5k:64,Je ferais pareil.,Lingala,Nakosala nse bongo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,cfe743f9a5303840,kit5k:65,Il se lassa bientôt.,Lingala,Ewumelaki te alembaki.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,69af3d31e448ef9d,kit5k:66,Il faut que tu essaies ça.,Lingala,Osengeli komeka oyo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b321f1f744ae3b96,kit5k:67,Je me suis descendu à son niveau.,Lingala,Namikitisaki tii na nivo na ye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,a8c0d522b6abdc0d,kit5k:68,Il aime les jeux de hasard.,Lingala,Alingaka masano ya konzo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2dc1002538e5a7fe,kit5k:69,Elle m'a menti.,Lingala,Akosaki ngai.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,0525be1e1974d0f9,kit5k:70,Nous l'avons élu maire.,Lingala,Toponaki ye moyangeli ya engumba.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,e49cad9791d4d58b,kit5k:71,Nous avons presque fini pour aujourd'hui.,Lingala,Tokomi kosilisa mpo na lelo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,a2eec479e17dfb4b,kit5k:72,Je suis devenu ami avec Tom.,Lingala,Nakomi moninga ya Tom.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,351d8eddebb9f068,kit5k:73,Vous n'êtes jamais allé à Paris ?,Lingala,Naino okenda na Paris te?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c196a44771f26223,kit5k:74,Quand la fête a-t-elle lieu ?,Lingala,Ntango nini nteke esalamaki ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
Lingala,lin,DRC Lingala,DRC-wide,CLEAR Global Gamayun kit5k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f1264ca04c4adb00,kit5k:75,Je dois déjeuner avec lui.,Lingala,Nasengeli koliya na ye elongo na ntongo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; source provenance and licence documented.
