verse_key,yns,fr
MAT.1.11,"Yɔsyä kàbör Yɛkɔnya anà atɔŋ ande, u paŋà bàsɔ̈ɔ̈l baan a Isàlɛl nsi u Babilɔn.","Josias engendra Jéchonias et ses frères, au temps de la déportation à Babylone."
MAT.1.12,"Ungö a nsɔ̈ɔ̈l a nsi, Yɛkɔnya kàbör Salàtyɛl, Salàtyɛl kàbör Zɔrɔbabɛl.","Après la déportation à Babylone, Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;."
MAT.1.13,"Zɔrɔbabɛl kàbör Abyudi, Abyudi kàbör Ɛlyakim, Ɛlyakim kàbör Azɔr.",Zorobabel engendra Abiud; Abiud engendra Éliakim; Éliakim engendra Azor;.
MAT.1.14,"Azɔr kàbör Sadɔki, Sadɔki kàbör Akim, Akim kàbör Ɛlyudi.",Azor engendra Sadok; Sadok engendra Achim; Achim engendra Éliud;.
MAT.1.15,"Ɛlyudi kàbör Ɛlyazar, Ɛlyazar kàbör Matan, Matan kàbör Yakɔb.",Éliud engendra Éléazar; Éléazar engendra Matthan; Matthan engendra Jacob;.
MAT.1.16,"Yakɔb kàbör Yɔsɛfi, un'dim a Màlye awà kàbör Yɛsu awà bàfàbel naa Klistɔ.","Jacob engendra Joseph, lépoux de Marie, de laquelle est né Jésus, qui est appelé Christ."
MAT.1.17,"Abun, yanswà yàkäl ngyääl kwem aŋinà fà Abàlam mukàman David, yàfàlyaŋ sye ngyääl kwem aŋinà fà David tii u paŋà alà bàsɔ̈ɔ̈l baan a Isàlɛl nsi u Babilɔn, ngyääl kwem aŋinà sye yàfàlyaŋ fà nsɔ̈ɔ̈l a nsi u Babilɔn tii u paŋà alà bàbör Klistɔ.","Il y a donc en tout quatorze générations depuis Abraham jusquà David, quatorze générations depuis David jusquà la déportation à Babylone, et quatorze générations depuis la déportation à Babylone jusquau Christ."
MAT.1.18,"Le, mböör a Yɛsu Klistɔ yàkäl abà: Ngwän ande Màlye kàkäl un'kaar kàtɛ Yɔsefi ntüüm, wɛɛ kusà ba mutàtüüb ndür, nde kàmɛnà anà yöm unsà ngwal a Dweelà In'kyɛɛl.","Voici de quelle manière arriva la naissance de Jésus-Christ. Marie, sa mère, ayant été fiancée à Joseph, se trouva enceinte, par la vertu du Saint-Esprit, avant quils eussent habité ensemble."
MAT.1.19,"Wɛɛ un'dim ande Yɔsɛfi, ntɔn kàkäl nde mbuur a balàbal, nde kàkwen anki mukun'mɛɛy nswɛn u mii a baar, lalan kàwɛl nde an'kyän u mpem ande mukun'wɛy kà unku.","Joseph, son époux, qui était un homme de bien et qui ne voulait pas la diffamer, se proposa de rompre secrètement avec elle."
MAT.1.20,"U taaŋ kàyweerà nde abà, un'kyeey a Mwol mwɛy kàyàmɛnà akà nde u ndwɛy, waa kàtɛn a nde naa: « Yɔsefi, mwan a David, twon an'man bɔɔmà muwal un'kyay angye Màlye, ntɔn yöm alà kan'bäl ande lan'fà akà Dweelà In'kyɛɛl.","Comme il y pensait, voici, un ange du Seigneur lui apparut en songe, et dit: Joseph, fils de David, ne crains pas de prendre avec toi Marie, ta femme, car lenfant quelle a conçu vient du Saint-Esprit;."
MAT.1.21,"Undiir awun, nde ayàbɔr mwan baal, ngye ayun'pà ikɔb a Yɛsu, ntɔn nde asàtswà mɔ̈ɔ̈ a un'sɛŋ ande unsà man'be a wa. ».","elle enfantera un fils, et tu lui donneras le nom de Jésus; cest lui qui sauvera son peuple de ses péchés."
MAT.1.22,Ndaa ayi yanswà yà ntɔn undiir kàtɛn Mwol u mun a ŋangɔɔm ande ukwe:.,Tout cela arriva afin que saccomplît ce que le Seigneur avait annoncé par le prophète:.
MAT.1.23,"« Le, mwan un'kaar unkɔr asàkal yöm, nde asàbɔr mwan baal, bàsun'beelà Mànwel », iswaŋà naa « Nzam wà uboo a bi ».","Voici, la vierge sera enceinte, elle enfantera un fils, Et on lui donnera le nom dEmmanuel, ce qui signifie Dieu avec nous."
MAT.1.24,"Mpal kàwiyà nde u twaal, Yɔsefi kàkyer ndaa kun'swɛŋ un'kyeey a Mwol, waa nde kàsi un'kyay ande u ndwà.","Joseph sétant réveillé fit ce que lange du Seigneur lui avait ordonné, et il prit sa femme avec lui."
MAT.1.25,Wɛɛ nde kàtüüb anki ndür anà nde tii mpal kàbör nde mwan baal awà kàpɛ nde ikɔb a Yɛsu.,"Mais il ne la connut point jusquà ce quelle eût enfanté un fils, auquel il donna le nom de Jésus."
MAT.2.1,"Yɛsu bun'bör u Bɛtelɛm a Yuday, umpal kàkäl Ɛlɔdi mfum. Ungö a mböör ande, baar bàfàleŋ muyöb nku a mbwaar bàfü mper làfàsɛnà taaŋ, ba bàyi u Yɛlusàlɛm.","Jésus étant né à Bethléhem en Judée, au temps du roi Hérode, voici des mages dOrient arrivèrent à Jérusalem."
MAT.2.2,"waa bàfuul naa: « Wà ken Mfum a Ayudà ban'bɔr benàben awà? Bi kàmɛn mbwaar ande mper làfàsɛnà taaŋ, lalan kan'yà bi mukun'kömà. ».","et dirent: Où est le roi des Juifs qui vient de naître? Car nous avons vu son étoile en Orient, et nous sommes venus pour ladorer."
MAT.2.3,"Mpal kàwem mfum Ɛlɔdi làsaŋ alà, nde kàkyer atɛɛr, anà Yɛlusàlɛm lanswà mbwo mwɛy anà nde.","Le roi Hérode, ayant appris cela, fut troublé, et tout Jérusalem avec lui."
MAT.2.4,"Nde kàtüüb andwer angaŋ anà alɔɔŋ a Un'kɔɔn, ntɔn mukafuul naa Klistɔ bàlun'bɔr ken.","Il assembla tous les principaux sacrificateurs et les scribes du peuple, et il sinforma auprès deux où devait naître le Christ."
MAT.2.5,Ba bun'fuur naa: « U Bɛtelɛm a Yuday. Ntɔn ŋangɔɔm kàsön abà:.,Ils lui dirent: A Bethléhem en Judée; car voici ce qui a été écrit par le prophète:.
MAT.2.6,"« Le, ngye Bɛtelɛm, u nsi a Yuday, ngye kà awà bul làkɔ̈ɔ̈n ndöŋ anki u Yuday, ntɔn mfum asàdii un'sɛŋ amɛ Isàlɛl, asàtoo uboo a ngye. ».","Et toi, Bethléhem, terre de Juda, Tu nes certes pas la moindre entre les principales villes de Juda, Car de toi sortira un chef Qui paîtra Israël, mon peuple."
MAT.2.7,"Apan, Ɛlɔdi kàbel aŋan'yeerà kà unku, ntɔn ba bun'kyään ubwaŋàbwaŋ taaŋ nà mbwaar kàmɛnà.","Alors Hérode fit appeler en secret les mages, et senquit soigneusement auprès deux depuis combien de temps létoile brillait."
MAT.2.8,"Apan, nde katöm Bɛtelɛm, waa kàtɛn naa: « Làkyen, kàlafuul ubwaŋàbwaŋ ntɔn mwan awà, bɛ làsun'man, yàlan'kyään, ntɔn mɛ sye in'kyen mukun'kömà. ».","Puis il les envoya à Bethléhem, en disant: Allez, et prenez des informations exactes sur le petit enfant; quand vous laurez trouvé, faites-le-moi savoir, afin que jaille aussi moi-même ladorer."
MAT.2.9,"Ungö bàwem ba ndaa kàtɛn mfum Ɛlɔdi, ba waa bàkyen, waa bàfàman mbwaar awà bàtàman ba umper làfàsɛnà taaŋ: mbwaar wa kàyikyeenà kusà a ba tii kàkàmbar wa udu a ikal kàkäl mwan.","Après avoir entendu le roi, ils partirent. Et voici, létoile quils avaient vue en Orient marchait devant eux jusquà ce quétant arrivée au-dessus du lieu où était le petit enfant, elle sarrêta."
MAT.2.10,"Umpal bun'tääl ba, ba bàmɛn un'sak mbɔɔn.","Quand ils aperçurent létoile, ils furent saisis dune très grande joie."
MAT.2.11,"Mpal bàbilà ba u ndwà, ba bàmɛn mwan anà ngwän ande Màlye, waa bun'kömà. Apan, ba bàduub an'bɔ̈ɔ̈n aba, waa bun'pɛ an'kab mà: wɔl, tswà anà may a usɔŋ.","Ils entrèrent dans la maison, virent le petit enfant avec Marie, sa mère, se prosternèrent et ladorèrent; ils ouvrirent ensuite leurs trésors, et lui offrirent en présent de lor, de lencens et de la myrrhe."
MAT.2.12,"Ungö apan, Nzam kakyään u ndwɛy naa ba bàkɔɔn afurà akà Ɛlɔdi, ba waa bàfurà nsi aba u mbwo asin.","Puis, divinement avertis en songe de ne pas retourner vers Hérode, ils regagnèrent leur pays par un autre chemin."
MAT.2.13,"Ungö a nkyeen aba, un'kyeey a Mwol mwɛy kàyàmɛnà akà Yɔsefi u ndwɛy, waa kun'kyään naa: « Mbarà, un'sɛn mwan anà ngwän, katiin u Ngipiti. Kal kwo tii umpal in'saswaŋ mɛ mufurà. Ntɔn Ɛlɔdi ayàleŋ mudwa mwan. ».","Lorsquils furent partis, voici, un ange du Seigneur apparut en songe à Joseph, et dit: Lève-toi, prends le petit enfant et sa mère, fuis en Égypte, et restes-y jusquà ce que je te parle; car Hérode cherchera le petit enfant pour le faire périr."
MAT.2.14,"Undiir awun, Yɔsefi kàmbarà nde u mpib, kàsɛn nde mwan anà ngwän ande, waa kàkàyee u Ngipiti.","Joseph se leva, prit de nuit le petit enfant et sa mère, et se retira en Égypte."
MAT.2.15,"Nde kàbwaay kwo tii u nkweel a Ɛlɔdi, ntɔn undiir kàtɛn Mwol wà u mbwo a ŋangɔɔm ukwe: « Mɛ kàbel mwan amɛ mutoo u Ngipiti. ».","Il y resta jusquà la mort dHérode, afin que saccomplît ce que le Seigneur avait annoncé par le prophète: Jai appelé mon fils hors dÉgypte."
MAT.2.16,"Mpal kàyöb Ɛlɔdi naa baar bàfàleŋ muyöb nku a mbwaar bàkyer un'kur, nde kàwem nkyɛl mbɔɔn, waa kàswɛŋ naa bàdwä baan abaal a mbul yweel tii u ngyɛl u Bɛtelɛm anà u nsi ande yanswà, mulab paŋà bun'kyään aŋan'yeerà.","Alors Hérode, voyant quil avait été joué par les mages, se mit dans une grande colère, et il envoya tuer tous les enfants de deux ans et au-dessous qui étaient à Bethléhem et dans tout son territoire, selon la date dont il sétait soigneusement enquis auprès des mages."
MAT.2.17,"Abun, undiir kàtɛn ŋangɔɔm Yɛlɛmya wà kàkyer akwo:.","Alors saccomplit ce qui avait été annoncé par Jérémie, le prophète:."
MAT.2.18,"« Bàwem ndaa mwɛy u Lamà, ilel anà in'tär mbɔɔn. Wawɛy Lakɛl wàmulel baan ande, nde ukwen anki naa mbuur kun'syääm, ntɔn ba bàfàkal anki. ».","On a entendu des cris à Rama, Des pleurs et de grandes lamentations: Rachel pleure ses enfants, Et na pas voulu être consolée, Parce quils ne sont plus."
MAT.2.19,"Ungö a nkweel a Ɛlɔdi, un'kyeey a Mwol mwɛy kàkàmɛnà u ndwɛy akà Yɔsefi u Ngipiti.","Quand Hérode fut mort, voici, un ange du Seigneur apparut en songe à Joseph, en Égypte."
MAT.2.20,"waa kàtɛn a nde naa: « Mbarà, un'sɛn mwan anà ngwän, furà u mɛɛn a Isàlɛl, ntɔn baar akwà bàkwen mudwa mwan ban'kwà. ».","et dit: Lève-toi, prends le petit enfant et sa mère, et va dans le pays dIsraël, car ceux qui en voulaient à la vie du petit enfant sont morts."
MAT.2.21,"Undiir awun, Yɔsefi kàmbarà nde, kàwɛl nde mwan anà ngwän, waa kàfurà u mɛɛn a Isàlɛl.","Joseph se leva, prit le petit enfant et sa mère, et alla dans le pays dIsraël."
MAT.2.22,"Wɛɛ utaaŋ kàwem nde naa Alakɛlawüs kàsàkiir taarànde Ɛlɔdi u kir a imfum u Yuday, nde kàwem bɔɔmà mufurà kwo. Nzam kun'weey u ndwɛy, laa kàkàyee nde u mɛɛn a Ngalilɛ.","Mais, ayant appris quArchélaüs régnait sur la Judée à la place dHérode, son père, il craignit de sy rendre; et, divinement averti en songe, il se retira dans le territoire de la Galilée."
MAT.2.23,"Nde kàkàtɔŋ u bul làmwɛy bàfàbel naa Nasàlɛr, ntɔn ndaa bàtɛn aŋangɔɔm ibü balàbal: « Nde bàsun'beelà un'nazɔrya. ».","et vint demeurer dans une ville appelée Nazareth, afin que saccomplît ce qui avait été annoncé par les prophètes: Il sera appelé Nazaréen."
MAT.3.1,"Utaaŋ alan, Ywan Un'düümà kàyàmɛnà u nsye a ipɔl a Yuday mulɔŋ naa:.","En ce temps-là parut Jean-Baptiste, prêchant dans le désert de Judée."
MAT.3.2,"« Làbuul mpem abɛ, ntɔn Imwol a du kye tsütsü! ».","Il disait: Repentez-vous, car le royaume des cieux est proche."
MAT.3.3,"Ywan awà wà mbuur kàsam ŋangɔɔm Yɛsay utaaŋ kàtɛɛnà nde naa: « Ndaa mwɛy yàmusaa in'kwɛŋ u nsye a ipɔl: Làlɔ̈ɔ̈n mbwo a Mwol, làsuub myay ande! ».","Jean est celui qui avait été annoncé par Ésaïe, le prophète, lorsquil dit: Cest ici la voix de celui qui crie dans le désert: Préparez le chemin du Seigneur, Aplanissez ses sentiers."
MAT.3.4,Ywan kàbwäärà ipfɛy a in'kà a Kamɛl anà un'kab a ibaan a ntsür u lɔŋ ande. Nde kàdyee mpay anà bwey a ndwaŋ.,"Jean avait un vêtement de poils de chameau, et une ceinture de cuir autour des reins. Il se nourrissait de sauterelles et de miel sauvage."
MAT.3.5,"Abun Yɛlusàlɛm, Yuday lanswà, anà un'tà a Yɔrdan bàkyeenà akà nde.","Les habitants de Jérusalem, de toute la Judée et de tout le pays des environs du Jourdain, se rendaient auprès de lui;."
MAT.3.6,Ba bàkyeyà man'be aba u mii a baar anà Ywan kadümà u Yɔrdan.,"et, confessant leurs péchés, ils se faisaient baptiser par lui dans le fleuve du Jourdain."
MAT.3.7,"Mpal kàmɛn nde naa Amfarisi anà Asadusi mbɔɔn bàyee akà nde ntɔn muwal ndüümà, nde kàtɛn a ba naa: « Mbil a iyäy! Nà kàlalɔŋ mutiin nkyɛl a Nzam ayà iyà?.","Mais, voyant venir à son baptême beaucoup de pharisiens et de sadducéens, il leur dit: Races de vipères, qui vous a appris à fuir la colère à venir?."
MAT.3.8,Làswɛŋ unsà nsyääl abɛ naa bɛ lan'buul mpem.,Produisez donc du fruit digne de la repentance.
MAT.3.9,anà twon lan'tɛn u mpem abɛ naa: Abàlam wà nkaa abi! Ntɔn mɛ alakyään naa Nzam kan'kwo mutwey ikyee a Abàlam u nkɔŋ yi!.,et ne prétendez pas dire en vous-mêmes: Nous avons Abraham pour père! Car je vous déclare que de ces pierres-ci Dieu peut susciter des enfants à Abraham.
MAT.3.10,"Fà itaan nkwar yà tsütsü mutsul in'te kun'swɛy: un'te wanswà mpa afàbɔr imbɛŋ aŋàbwaŋ, bàkyer asun'tsul, waa bàsun'tɔɔm u mbaa.",Déjà la cognée est mise à la racine des arbres: tout arbre donc qui ne produit pas de bons fruits sera coupé et jeté au feu.
MAT.3.11,"« Mɛ, mɛ in'kàladümà kan'dà ntɔn mbuul a mpem. Wɛɛ mbuur awà ayà ungö a mɛ kàman'lyaŋ u ngwal: mɛ in'kwe anki musɔɔl idyäär ande. Nde, nde asàladümà u Dweelà In'kyɛɛl anà u mbaa.","Moi, je vous baptise deau, pour vous amener à la repentance; mais celui qui vient après moi est plus puissant que moi, et je ne suis pas digne de porter ses souliers. Lui, il vous baptisera du Saint-Esprit et de feu."
MAT.3.12,"Nde we anà impye u kɔɔ ande ntɔn mukɔɔm blɛ. Nde asàsà imbɛŋ uboo a ikɔr, wɛɛ un'lɛŋ nde asàtɔɔm u mbaa mpa isàdim akà ikikye. ».","Il a son van à la main; il nettoiera son aire, et il amassera son blé dans le grenier, mais il brûlera la paille dans un feu qui ne séteint point."
MAT.3.13,"Abun, Yɛsu kàfü Ngalilɛ, waa kàyàkɔlà u Yɔrdan akà Ywan Un'düümà u ngyäl a Yɔrdan, ntɔn nde kun'dümà.","Alors Jésus vint de la Galilée au Jourdain vers Jean, pour être baptisé par lui."
MAT.3.14,"Wɛɛ Ywan kàmɛn ube, waa kàtɛn a nde naa: « Mɛ, mɛ in'làkwo muyà akà ngye, ntɔn ngye an'pɛ ndüümà, wɛɛ ngye, ngye afàyà akà mɛ! ».","Mais Jean sy opposait, en disant: Cest moi qui ai besoin dêtre baptisé par toi, et tu viens à moi!."
MAT.3.15,"Wɛɛ Yɛsu kun'fuur naa: « Wɛy ya ikäl abà apanà, ntɔn yà ubwaŋ naa bi ikwey balàbal lanswà. » Abun, Ywan waa kàkyey.","Jésus lui répondit: Laisse faire maintenant, car il est convenable que nous accomplissions ainsi tout ce qui est juste. Et Jean ne lui résista plus."
MAT.3.16,"Pa kàwɛl nde ndüümà, Yɛsu laa kàtoo nde kan'dà. Taaŋ nsil la du waa làyaanà, nde kàmɛn Dweelà a Nzam wàmuyàtyà akà nde asànaa nkokà.","Dès que Jésus eut été baptisé, il sortit de leau. Et voici, les cieux souvrirent, et il vit lEsprit de Dieu descendre comme une colombe et venir sur lui."
MAT.3.17,"Le, ndaa mwɛy yàfü du, waa yàtɛn naa: « Wawà wà Mwan amɛ wà nkween. Mpem amɛ yanswà ye amu nde. ».","Et voici, une voix fit entendre des cieux ces paroles: Celui-ci est mon Fils bien-aimé, en qui jai mis toute mon affection."
MAT.4.1,"Ungö apan, Dweelà a Nzam kàsyen Yɛsu u nsye a ipɔl ntɔn ileŋ kyun'lwɛb.","Alors Jésus fut emmené par lEsprit dans le désert, pour être tenté par le diable."
MAT.4.2,"Ungö mukin udyà myäänà an'kwem an'nà anà mpib an'kwem an'nà, ngyal waa yun'käär.","Après avoir jeûné quarante jours et quarante nuits, il eut faim."
MAT.4.3,"Un'lwɛɛb kàyàsin tsütsü, waa kàtɛn a nde naa: « Kya ngye asàkal Mwan a Nzam, swaŋ nkɔŋ yi ibulà mampà. ».","Le tentateur, sétant approché, lui dit: Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains."
MAT.4.4,"Wɛɛ Yɛsu kàfuur naa: « Bàsön naa: Kà nà mampà mpɛl anki màfàpà mbuur mɔ̈ɔ̈, wɛɛ ndaa yanswà ifàtoo u mun a Nzam. ».","Jésus répondit: Il est écrit: Lhomme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu."
MAT.4.5,"Apan, ileŋ kyun'syen u bul in'kyɛɛl, laa kun'si nde udu a ndwà a Nzam.","Le diable le transporta dans la ville sainte, le plaça sur le haut du temple."
MAT.4.6,"waa kàtɛn a nde naa: « Kya isàkal naa ngye awà Mwan a Nzam, tɔɔmà unsi, ntɔn bàsön naa: Nde asàswaŋ akyeey ande ntɔn ngye, waa ba bàsawal kan'kɔɔ aba ntɔn làkɔl angye làkɔɔn aböl u nkɔŋ mwɛy. ».","et lui dit: Si tu es Fils de Dieu, jette-toi en bas; car il est écrit: Il donnera des ordres à ses anges à ton sujet; Et ils te porteront sur les mains, De peur que ton pied ne heurte contre une pierre."
MAT.4.7,"Yɛsu kàtɛn a nde naa: « Bàsön sye naa: Ngye asun'lwab anki Mwol, Nzam angye. ».","Jésus lui dit: Il est aussi écrit: Tu ne tenteras point le Seigneur, ton Dieu."
MAT.4.8,"Ileŋ kàfun'syen udu a mɔŋ a bwɛlàbwɛl, waa kun'mɛɛy imfum a mɛɛn byanswà anà làkoo abya.","Le diable le transporta encore sur une montagne très élevée, lui montra tous les royaumes du monde et leur gloire."
MAT.4.9,"waa kàtɛn a nde naa: « Mɛ in'sapà indiir bi byanswà, isàkal naa ngye aman'kömà anà aman'sà làkoo. ».","et lui dit: Je te donnerai toutes ces choses, si tu te prosternes et madores."
MAT.4.10,"Abun Yɛsu waa kàtɛn a nde naa: « Satanà, kyà kunà! Ntɔn bàsön naa: Ngye asàkömà Mwol Nzam angye anà ngye asàsyääl nde mpɛl. ».","Jésus lui dit: Retire-toi, Satan! Car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul."
MAT.4.11,"Abun, ileŋ waa kàsun'wɛy. Apan sye, akyeey bàyàsin tsütsü apà Yɛsu, waa bun'syäälà.","Alors le diable le laissa. Et voici, des anges vinrent auprès de Jésus, et le servaient."
MAT.4.12,"Mpal kàwem nde naa Ywan Un'düümà kan'bilà bɔlokà, Yɛsu kàkyen Ngalilɛ.","Jésus, ayant appris que Jean avait été livré, se retira dans la Galilée."
MAT.4.13,"Ungö kàlwomà nde u Nasàlɛr, nde kàkyen Kapɛrnawum kun'kɔɔl a ɛwà, kà itiir a nsi a Zabulɔn anà Nɛftali.","Il quitta Nazareth, et vint demeurer à Capernaüm, située près de la mer, dans le territoire de Zabulon et de Nephthali."
MAT.4.14,ntɔn ndaa kàkyään ŋangɔɔm Yɛsay yi ikwe:.,"afin que saccomplît ce qui avait été annoncé par Ésaïe, le prophète:."
MAT.4.15,"« Mɛɛn a Zabulɔn, mɛɛn a Nɛftali, mbwo a ngyäl a kölàköl, nsi ayà u sim a Yɔrdan lumwɛy, u Ngalilɛ a baar mpa abà Ayudà!.","Le peuple de Zabulon et de Nephthali, De la contrée voisine de la mer, du pays au delà du Jourdain, Et de la Galilée des Gentils."
MAT.4.16,"Un'sɛŋ kàkäl uboo a làpib kàkyàman pɛɛlà a kölàköl! Baar abà bàkäl u nsi a làpib a ukwà, pɛɛlà làmwɛy làkölàköl làkyàmɛnà! ».","Ce peuple, assis dans les ténèbres, A vu une grande lumière; Et sur ceux qui étaient assis dans la région et lombre de la mort La lumière sest levée."
MAT.4.17,"Fà umpal ayin, Yɛsu laa kàsɛmà nde mukyään naa: « Làbuul mpem abɛ: Imwol a du kyan'yàsin tsütsü! ».","Dès ce moment Jésus commença à prêcher, et à dire: Repentez-vous, car le royaume des cieux est proche."
MAT.4.18,"Mpal kàkäl nde muyikyà kun'kɔɔl a ɛwà a Ngalilɛ, nde kàmɛn atɔŋ abɔ̈ɔ̈l, Simɔn bàfàbel Petɔlà anà un'tɔŋ ande Andrɛ, bàmuyitɔɔm an'tɛy u ngyäl, ntɔn ba bàkäl alɔ̈ɔ̈b a nsö.","Comme il marchait le long de la mer de Galilée, il vit deux frères, Simon, appelé Pierre, et André, son frère, qui jetaient un filet dans la mer; car ils étaient pêcheurs."
MAT.4.19,"Yɛsu kàtɛn a ba naa: « Yà lan'läb, waa mɛ in'yàlabuul alɔ̈ɔ̈b a baar. ».","Il leur dit: Suivez-moi, et je vous ferai pêcheurs dhommes."
MAT.4.20,"Apan sye, ba bàsàwɛy an'tɛy, waa bun'läb.","Aussitôt, ils laissèrent les filets, et le suivirent."
MAT.4.21,"Mpal kàfàsin nde kusà, nde kàmɛn atɔŋ abɔ̈ɔ̈l asin, Zyak anà Ywan, baan a Zɛbeday. Ba bàkäl uboo a bwaar aba anà taaràba Zɛbeday bàmulɔɔnà an'tɛy aba. Yɛsu waa kabel.","De là étant allé plus loin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean, son frère, qui étaient dans une barque avec Zébédée, leur père, et qui réparaient leurs filets."
MAT.4.22,"Apan sye, ba bàsàwɛy bwaar anà taaràba, waa bun'läb.","Il les appela, et aussitôt ils laissèrent la barque et leur père, et le suivirent."
MAT.4.23,"Ungö apan, nde kàyilyaŋà u Ngalilɛ wanswà, waa kàyilɔɔŋà uboo a ndwà a nköŋ aba, muyikyään Làsaŋ Aŋàbwaŋ là Imwol anà muyikɔɔr ukyäl banswà anà too lanswà uboo a un'sɛŋ.","Jésus parcourait toute la Galilée, enseignant dans les synagogues, prêchant la bonne nouvelle du royaume, et guérissant toute maladie et toute infirmité parmi le peuple."
MAT.4.24,"Làsaŋ ande làpää u Siri lanswà, waa bun'twäälà abɛy bàkäl anà an'kyal mà ifà ifà: an'dweelà an'be, akweel a nkaaŋ anà ikar, waa kakɔɔr ba banswà.","Sa renommée se répandit dans toute la Syrie, et on lui amenait tous ceux qui souffraient de maladies et de douleurs de divers genres, des démoniaques, des lunatiques, des paralytiques; et il les guérissait."
MAT.4.25,"Iköŋ a baar mbɔɔn bàfü Ngalilɛ, anà itiir a An'bul Kwem, anà Yɛlusàlɛm, Yuday anà sim a Yɔrdan waa bàyun'labà.","Une grande foule le suivit, de la Galilée, de la Décapole, de Jérusalem, de la Judée, et dau delà du Jourdain."
MAT.5.1,"Mpal kàmɛn Yɛsu iköŋ a baar, nde kàbeenà udu a mɔŋ, waa kàbwaay. Alɔŋki ande bàsin apà nde.","Voyant la foule, Jésus monta sur la montagne; et, après quil se fut assis, ses disciples sapprochèrent de lui."
MAT.5.2,nde waa kàsɛmà mukalɔŋ abà:.,"Puis, ayant ouvert la bouche, il les enseigna, et dit:."
MAT.5.3,"« Un'sak akà baar abye anà mpem a làbɔ̈ɔ̈n, ntɔn Imwol a du kye anà ba!.","Heureux les pauvres en esprit, car le royaume des cieux est à eux!."
MAT.5.4,"Un'sak akà baar bàlelà, ntɔn bàkyer asalɛɛl!.","Heureux les affligés, car ils seront consolés!."
MAT.5.5,"Un'sak akà baar a làbɔ̈ɔ̈n, ntɔn mɛɛn mà isàkal kwal aba!.","Heureux les débonnaires, car ils hériteront la terre!."
MAT.5.6,"Un'sak akà baar abye anà ngyal anà mfwää a balàbal, ntɔn ba bàkyer asàyuur!.","Heureux ceux qui ont faim et soif de la justice, car ils seront rassasiés!."
MAT.5.7,"Un'sak akà aŋangyɛb, ntɔn bàkyer asasyääm!.","Heureux les miséricordieux, car ils obtiendront miséricorde!."
MAT.5.8,"Un'sak akà baar abye anà mpem a pɛɛl, ntɔn ba bàsàman Nzam!.","Heureux ceux qui ont le cœur pur, car ils verront Dieu!."
MAT.5.9,"Un'sak akà baar bàfàsà duu, ntɔn bàsabel baan a Nzam!.","Heureux ceux qui procurent la paix, car ils seront appelés fils de Dieu!."
MAT.5.10,"Un'sak akà baar bàŋàmɛɛy nkwaaŋ ntɔn balàbal, ntɔn imwol a du isàkal kyà ba!.","Heureux ceux qui sont persécutés pour la justice, car le royaume des cieux est à eux!."
