fra	nnb
Ce n'est pas un secret que l'opinion de Tom est différente de la tienne.	Sikumbo obulhengekania bwa Tom bukabya ibughabaghabene nobwaghu.
Je suis votre voisin.	Nyindi muhimbani waghu.
N'essayez pas de faire deux choses à la fois.	Sighulenge erikola ebindu bibiri oko ndambi nguma.
Je n'aimerais pas vivre là-bas.	Sinyianzir'eribyangabukayo.
C'est un peu injuste.	Sikyanga tokekana.
Ils finirent leur repas.	Neryo mobabugha akalhyo kabo.
Il est venu vers quatre heures.	mwakasa mwangowa saha mwenda.
Il me faut un miracle.	Nyitholere ekiswekya.
Je me rappelle l'année où il a eu un travail.	Namibuk'omwaka oyo abana amo muviri.
Tom est souvent en voyage.	Kanzikanzi Tom akabya inyaghendire.
Sans mon conseil, tu aurais échoué.	Hath'erighano ryaghe, wangathalukire.
Tu as une bonne réputation.	Ghuwite erikumayira eryowene.
Je dois à mon oncle ce que je suis aujourd'hui.	Nanganasima nyokolume waghe busana nolulhengo indimo.
Elle se dressa pour ce qui était juste.	Mwayithula okobyabya biekwenene.
Je ne veux même pas que tu sois là.	Sinyanzire ukasyabyanaho.
Je déteste ma voix.	Nyiponire omulhenge waghe.
Il y a beaucoup trop de monde dans cette pièce.	Halhi bandu banene omo masatha ayo.
Savez-vous comment vous rendre chez nous ?	Ghunasi ngoko mwangasuva omo maka ?
Dis-moi la raison pour laquelle tu étais en retard à l'école.	Mbwire ekiryalheka iwathahika luba okokiyiro ?
En raison d'une grave maladie, il ne peut pas mouvoir son corps comme la plupart des gens le peuvent.	Busana nobukoni obukalhire, syangayiseghania ngoko abandi bakakola.
L'as-tu embrassée ?	Moghukana mukumbathira ?
Il est maintenant à court d'argent.	Syakiwite ku lumbuka.
Cette salle est pleine de soleil.	Ekisenge eki kirimo eryuba rinzi.
C'est dangereux de passer par le pont.	Nibuhanya kulaba ngoko nyilwenyilhengekenye.
Laissez-moi regarder !	Lheka ngalebaya !
C'est plus dangereux que je ne le pensais.	Nibuhanya kulaba ngoko nyilwenyilhengekenye.
J'ai laissé mon parapluie ici la semaine dernière.	Monasigha ehema yaghe yohano okoyenga eyalaba.
Je veux vraiment vous embrasser.	Nganza nyikuhire omobyala byaghe.
Tu cuisines vraiment bien.	Ukahuka ndeke.
Ce n'est pas Tom qui a emprunté ma voiture.	Si Tom oyulyaghenda omongurubani yaghe.
Le pape visita le Brésil.	Yo papa wa roma mwalenderera e Bresil.
J'imagine que j'aurais dû le lire plus attentivement.	Ngalhengekanaya nganagasomire kyondekendeke.
Permettez-moi de me présenter.	Lheka ngayi minyisaye.
Ils se sont mariés quand ils étaient encore jeunes.	Mobalunga omughulu babya ibakine balwana.
Je suis sage.	Nyiri mwenge.
Ça goûte le poulet.	Engoko yisihire.
Je me réjouis de vous revoir bientôt.	Ngatsema kusangwa hathyangandisyakusunga.
Je n'ai pas le choix. Je dois le faire.	Singwite ekindi ekyonanga ghemera. Ninapashw'eri kolakyo.
Je veux les voir.	Ngasonda nyilangirebyo.
Une heure de plus et la dinde sera prête.	Saha nguma eyo mulabira neryo edendu yikandibya iyamabiyitheka hakuhi.
Ils sont vraiment grands.	Babiri kotha.
Chien qui aboie ne mord pas.	Endeghetheghe eyikahaya siyiluma.
C'était l'heure du déjeuner.	Yabyandambi eyeripolhia obusara.
Il est gentil plutôt que doux.	Nimwenge kulaba ubusi.
Pourriez-vous composer le numéro pour moi ? Le téléphone est placé trop haut.	Wangana nyi sakir'e nimero yiwe yo hano ? E simuyithekire hali aho ndatha.
Je m'excuse pour hier.	Nama saba obughanyiri okobyamulhigholo.
Il ne capte simplement pas.	Syalhyowa.
Tu aurais dû me dire ça avant.	Wangambwirirekyo embere.
La boîte est presque vide.	Ekisanduku kine kithya.
Tom est élégant.	Tom ahwerereko.
La synchronisation est horrible.	Obukoli bwahauma bukalire.
Allons-y !	Thuyeyo !
Voyages-tu seul ?	Ukabalama ighuwene ?
Tom a demandé à Marie de ne pas discuter de ce sujet avec quelqu'un d'autre.	Toma mwaka bwira Marie athi sia kanaye namundu oko bilebire omwatsi munye.
Tom a descendu les escaliers.	Tom mwakandaghala okokisambiro.
J'ai des devoirs à terminer.	Nangwithe ebyerikola.
Je ne m'y connais peut-être pas beaucoup, mais je sais que Tom ne sait pas de quoi il parle.	Sinyasibyo kundu, angulhe nyinasi Tom syasi ebyo akakanayako.
Nous ne faisons pas confiance à Tom.	Situhirire amaha ghomo Tom.
Il y a une roche sur le plancher.	Eribwe rine oko rupagho.
Vous n'allez pas le dire à mes parents, n'est-ce pas ?	Siwendi bwira ababuthi baghe, kobithebithya ?
As-tu déjà porté des sous-vêtements longs ?	Wanabiryambala esyonzimba esyemwisi esiri siri ?
Par ici !	Hano !
Demain, c'est dimanche.	Omonzya, ini nyamwingira.
Le garçon s'est presque noyé.	Omulwana hakuhi mwakayisendaya.
J'aime ce chien.	Nyanzire endegheteghe eyi.
Il chante très bien.	Akimba ndeke.
On ne peut pas vivre avec dix mille yens par mois.	Omundu syangabyaho omo bighonye ikumi biesyo yens okomukera.
Tom est sans domicile fixe.	Tom syawithe mbimbano yithekene.
Ceux qui habitent des maisons de verre ne devraient pas lancer de pierres.	Abakabuka omombimbano sye biyo, sibanga husangire amabwe.
J'ai dormi deux heures dans l'avion.	Mongaghotsera omorisu omo masaha awabiri.
Nous allons continuer à le faire jusqu'à ce que quelqu'un nous dise que nous ne le pouvons pas.	Thukandi lolhya emulhiro thukakolakyo erihika omughulu omundu akandibugha athi sitwanga kolhire thuthya.
Combien t'en reste-t-il ?	Hakikusighalhire bingahi ?
J'ignorais ça jusqu'à ce matin.	Nyilwe isinyasikyo erihika omonjakyanjakyeno.
Prenez rendez-vous.	Thulaghane.
Arrête d'aller là-bas.	Ghulheke erisyayaho.
Il ouvrit la porte.	Neryo mwakingula oluyi.
Qu'as-tu pensé de Tom ?	Moghukalhengekanaya oko Tom koki ?
Son mari est sur son lit de mort.	Ibawiwe alhi ko jingo omomondemonde.
Nous avons deux filles.	Thuwithe bambesa babiri.
Je ne parle que le français.	Ngabugha ekifaranza kisa.
Je connais les conséquences potentielles.	Nyinassi amalhigho awangabya.
Je me douche quotidiennement.	Ngayikarabaya obulhikiro.
Il faudrait que tu ailles jusqu'au bout de ton premier plan.	Kumbe ghulyalolaya emulhiro erihika okondulya.
Il se met à neiger.	Nembula yikasond'eriwa.
Vos parents parlent-ils le français ?	Ababuthi bawe bakanabugha ekifranza ?
Toutes les nuits, elle reste éveillée jusqu'à ce que son mari rentre à la maison.	Omo biro byosi, akalhinda butsiriyatho erihika aho mwira wiwe akandihikira.
Elle se mit à faire courir ses doigts dans ses cheveux.	Neryo mwayitheka erilabya eminwe yiwe yomonzwiri shiwe.
L'allemand est la meilleure langue du monde.	Eki allemand ghomubughe mubuya omo kihugho kyosi.
Tom choisit la solution de facilité.	Tom mwasombolo omulondo oghobweghu bweghu.
Cette boîte est d'une autre couleur que celle-là.	Ekisanduku kino kiwithe eyindi ranzi okokirya.
Elle est arrivée là-bas avant Tom.	Mwahikire halhya embere sya Tom.
Il sera en train de dormir.	Akandibya inyanetho.
Il vous a tout sacrifié.	Mwakalek'ebyosi busana naghu.
Vous parlez en anglais ?	Ukabugha omo kingereza ?
Nous allons nous marier en octobre.	Thukandilhungo okomukera wekikáho.
Va-t-il bien ?	Anughwene ?
Te faut-il un chauffeur pour rentrer chez toi ?	Thukuhe omufuhi erisuba ewaghu ?
Je n'ai pas encore décidé quoi faire.	Sindinasunga ekyerikola.
Les vaches vivent sur l'herbe.	Esyonde sikabyaho busana nebithi.
Tom est un gosse de riche.	Tom nimwana ghomutheke.
Tiens ta langue ou tu seras puni.	Kehaya olulimi lwaghu kutse ukandi suyirwa.
Je ne peux plus supporter ce froid.	Sinangasyasika omo mbeho eyo.
Soyons simplement amis !	Thubie bira basa !
Je veux ce boulot.	Nyanzire omubiri oyu.
Ne lui dis pas.	Sighumbwire.
Je vais ouvrir la boîte et regarder ce qu'il y a à l'intérieur.	Ngandikingula ekisanduku nerilhebya ebirimo.
Lave-toi le visage.	Karaba omobusu.
La conquête normande de l'Angleterre eut beaucoup d'influence sur la langue anglaise.	Amalwa we bungereza  nabanya Allemagne moriaba nakaghala kanzi okomubughe wekingereza.
Elle lui a transmis des signaux contradictoires.	Mwakamuthumira ebiminyikalo ebighabaghabene.
Il avait marché durant des heures.	Mwaghenda omomasaha manzi.
Depuis combien de temps habites-tu ici ?	Erilwa mughulu wahi ghukabuka hano ?
Mon frère aîné a décroché un poste dans une grosse boîte.	Mughala wethu oyunyisubireko mwakasunga omubiri ghomo kisanduku kinene.
Tu n'as pas besoin de préparer une allocution formelle.	Sighulaghirweko eritheghekania omulaghe.
Elle n'a pas d'égale pour ce qui est de cuisiner chinois.	Syangalhinganibwa nomuhuki we chine.
Tout s'est passé d'un coup.	Ebyosi mobikalaba okondambi nguma.
Quels sont vos véritables sentiments ?	Ebithaghwabyaghu byebyahi ?
La prochaine fois que je serai à la plage, j'enverrai un message dans une bouteille.	Omokiro ekikasaomughulu ngasyabya okomulondo ngasyathuma omulaghe omotsupa.
Qu'est-ce qu'un dieu ?	Omulhimu niki ?
Tom va perdre.	Tom akandiherya.
Je crois que nous nous sommes égarés.	Ngalhengekanaya twabirihera.
Cela est d'aspect ordinaire.	Ekyo kokikanabya kithya.
Ne faites pas de bruit.	Sighulhete efuyo.
Je veux participer.	Ngandi anza nyisangire.
Mon appartement est proche d'ici.	Embimbano yaghe yirihakuhi nahano.
Réfléchis-y encore une fois.	Thasya lhengekanaya kandi.
Je pensais vous y trouver.	Nabya ngalhengekanaya ngangandi kusungayo.
Pierre le Cruel est également connu comme Pierre le Justicier.	Pierre omwiti naye asibwe nga Pierre omusosi.
C'est difficile d'oublier ce qui s'est passé.	Kikalhire eribirirwa ekyalaba.
Il s'est levé et est parti au milieu de la discussion.	Mwakahangana neryo amaya omokathi komukania.
Tu peux entrer.	Wanganingira.
Je croyais que Tom était mort.	Nabya ngalhengekania indimbwino Toma aholire.
Il est très ouvert.	Akabugha butsir'ihubaha.
Le jour se divise en matin, matinée, midi, après-midi, soir et nuit.	Ekiro kikayighabamo mitsange, enziakya, erithunzi, enyuma syerithunzi, erighologholo nekiro.
J'ai tellement ri que mon estomac me fait mal.	Monaseka kundu erihika okokika ekihu kyaghe mokyaluma.
Ce n'est pas un sujet de plaisanterie.	Simwatsi ghobwana.
Tom a retrouvé le porte-monnaie qu'il croyait avoir perdu après avoir fouillé la maison de tous bords tous côtés.	Tom abirisunga ekila kiwe ekyalwe alhengekenye kwabiri herya enyuma syeri kubungula embimbano ahosi hosi.
Il a essayé fort mais il a échoué.	Mwakanalhenga kutsivu alhiwe mwakathaluka.
Je n'ai pas eu beaucoup de sommeil.	Sindithayatho kutsivu.
J'aime ta manière de parler.	Nyanzire ngoko ukabugha.
Je ne pense pas qu'on puisse lui faire confiance.	Sinyilhengekenie nga twanga muhiramo amaha.
Je le fais pour eux.	Ngabakolherabyo.
Il ne reste pas de nourriture.	Sihakiri akalhyo.
Ils s'aimaient.	Babya banzene.
Je ne vous dois rien !	Sindimokasohikaghu !
Je suis trop fatigué pour conduire. Pourriez-vous conduire ?	Nduhire erighendia. Wangana ghendia ?
Pouvez-vous traverser la rivière à la nage ?	Wangana sokolusi omwidilha ?
Avant demain matin cette fille l'aura fini.	Embere syenzakya yomonza omumbesa oyu akandibya inyamabughakyo.
Ce n'est pas exactement ce que je voulais, mais je l'ai acheté malgré tout.	Sikyekyonyilwenyisondire, alhiwe mongaghulakyo mwali ebyosi.
Un chat est sous la table.	Epusu yine emwisi syobutara.
Pourquoi me faites-vous ça ?	Busanaki ukangola uthia ?
Je vous apprécie en tant qu'ami.	Ngakusima ngamwenzi waghe.
Je ne me souviens pas quand et où je t'ai rencontré.	Sinyithqsyebuka mughulu wahi nahayi honakusunga.
Il a une voiture japonaise.	Anawithe okongurubani eyo muhanda we japani.
Je savais que c'était ce que tu voulais.	Nabya inyinasi ngoko kyowabya wanzire.
Nous devrions attendre.	Thwanga lhindire.
C'est dommage que le professeur quitte notre école.	Nibulhigho eribya omukangirirya oyo amalwa okokiyiro kyethu.
Notre vol part à 14 h 30.	Erisu ryethu rikandi ghenda oko saha munani ne bini.
La nuit dernière, quelqu'un a cambriolé une boutique près de chez moi.	Omokiro ekyalaba, omundu mwayiriyathula ekisenge ekyobuhingania ahakuhi naho waghe.
Si j'avais eu le temps, je l'aurais fait.	Nangabanire endambi, nangakolhirekyo.
Qu'as-tu dans ton sac ?	Omongunza yaghu mulhiki ?
Tom et Marie ont étudié ensemble.	Tom na Marie mobigha haghuma.
S'il travaillait dur, il pourrait avoir son examen.	Angakolhire nakaghala, angasungire amabulhyo wiwe.
Ne compare jamais ta femme à une autre femme.	Sighulengereranaye nahake nahake omukali waghu na bandi bakali.
Ne retire pas toutes les pierres du chemin de tes enfants, sans quoi ils se heurteront un jour, en courant, la tête dans un mur.	Sighulusaye amabwe ghosi ghomonzira yabanabawe, bithe bithya ibakandisya twikala kiro kighuma, bakayibatsira kyungo, omuthwe omoluhimbo.
Nous sommes restés silencieux.	Mothuka sighala buthuku.
Tom m'a dit que Mary était morte lundi.	Tom mwambwirire ngoko Maria aholire omo nyamwingira.
Il ne pouvait pas s'empêcher de le tripoter.	Syangayikakirye erilukakyo.
As-tu une solution ?	Unawithe ekyangakolwa ?
Il a écrit ce poème la nuit dernière.	Mwasakire olwimbo olu omo kiro ekyalaba.
Reste près.	Ubye hakuhi.
Ne parlez pas de ça.	Sighubughe okwebyo.
Qui que ce soit qui dit cela est un menteur.	Angabyandi oyowangabugha okwebyo inimubehi.
Que veux-tu de moi ?	Ukanzondakoki ?
Nous ne sommes pas encore désespérés.	Sithulhitwathwa amaha.
Il va probablement neiger demain.	Embula yamatsuku yanganasyawa omozakya.
J'ai vérifié deux fois pour m'assurer que nous n'avions fait aucune erreur.	Monalhebiryebhakuhi ngendo kabiri ngayitheghererya ngasithuthakola erilolo rike.
Quel est le numéro de ma chambre ?	Erighanza rye kisenge kyaghe yeyahi ?
On a pris très peu de poissons dans cette rivière.	Mothukasoha samaki nge omolusi olu.
Nous lui rendons visite de temps en temps.	Thukana mubana kanzikanzi.
Je crois plus au régime qu'aux médicaments.	Ngahira amaha ghomokalio kulaba emibatsi.
Ça fonctionne.	Kinemukola.
Et les voilà !	Nakandi babalhya.
Maintenant, pourquoi irais-tu commettre une telle bêtise ?	Nikwa, busanaki ukandiyakola olutseghetseghe olulhingolu ?
J'ignore si je devrais rire ou pleurer.	Ngabula ngananga seka kutse erilhira.
Je ne peux rien promettre, mais je vais faire de mon mieux.	Sinangalahirya kindu, angulhe ngandikola ngokonangathoka.
Tu n'as pas bu cette eau, hein ?	Sighuthanywa amalhiba aya, nakwa ?
Tom s'est fait mal.	Tom mwayithire.
Nous répétons beaucoup.	Tukigha kundu.
Combien de fois devriez-vous exercer ?	Kangahi mwangighire ?
Allons manger ensemble.	Thuyalhye haghuma.
Qui penses-tu qu'est cet homme ?	Ukalhengekanaya ghuti oyu nindi ?
J'ai été promu il y a trois mois.	Monalaghanirwe hamabikya emikera eyisathu.
Cet enfant est mince.	Omwana oyu abondire.
Entends-tu quelque chose ?	Wanamowa ekindu ?
Je me sens beaucoup mieux maintenant.	Namayowandeke mangahathya.
Dépêche-toi et tu seras à l'heure à l'école.	Anguha nerio ukandihikaluba okokiyiro.
Que peux-tu m'enseigner ?	Ukandingangiriryaki ?
Nous devrions y parvenir si la circulation n'est pas trop encombrée.	Twangana hikireyo engenda ngoyathabyamo ebikakiryo.
Veux-tu manger ça ?	Unanzire iwalya eki ?
N'y prête pas attention.	Sighuyithererqye kyo kundu.
« D'où Tom tient-il cette facilité pour le français ? Il n'a jamais mis les pieds dans un pays francophone et n'a pas non plus d'amis francophones. » « Je crois qu'il regarde beaucoup de films français sur Internet. »	« Nikwa Tom alusaya hayi ershika omo kifranza ? Syalhyathahika nomo kighugho kighuma ekyobakabughamo ekifranza na kandi syawithe abenzi biwe abakabugha ekifranza. » « Ngalhengekanaya akasamalhira ebisesani binene ebye kifranza oko kisengula. »
Je veux être cosmonaute.	Nganza nyighe amasako aghomokihiho kyosi.
Je ne permettrais jamais cela.	Sinendisyalhinghira ekyokonahake.
Quel jour es-tu libre habituellement ?	Kiro kyahi sighulhibya nomubiri ?
Quelle perte !	Twama heria !
Est-ce que Thomas a un vélo ?	Thomas anawithe oko kinga kwe ?
L'argent n'est pas tout.	Esyosende sibiosi.
L'opération a eu lieu hier.	Omwatsi oyo mwabere mulhigholo.
Est-ce que tu as bu beaucoup ?	Moghukananywa maghetse manzi ?
Qui est le monsieur auquel il parle ?	Nindi oyoghukabugha nayo?
Je ne suis plus jeune, mais je peux encore mordre.	Sinyikiri mweru, angulhe nangana luma.
Je ne peux pas être ami avec Tom.	Sinanganabya mwira na Tom
T'es sérieux, non ?	Unemubughe kwenene ?
C'est un oiseau de nuit.	Ninyunyu eyekiro.
« Parles-tu le grec ? » - « Pas encore, c'est ma première leçon ! »	« Ukanabugha ekigriki ? » - « Iyehe, nirikangiriria ryaghe eryembere ! »
Je voulais savoir d'où la voix provenait.	Nyilwe nyisondire inaminya aho omulhenge akasira.
Je ne veux plus causer de souci à personne.	Sinangasya lhetera mundu ya malhengekania.
Il y a une rumeur selon laquelle Tom est gay.	Olwambu luthi Tom aka ghenda na bandi balume.
Communiquer des nouvelles à la télévision et à la radio est très courant de nos jours.	Lhino erithulq esyongulu okobinimba noko bisasamira ryoriri.
Dan semblait être un suspect probable.	Dan abyangakathikathika ngoyukabikolakyo.
Tom n'a pas beaucoup aimé le concert.	Tom mwathanza ebisanda.
Je pense qu'il va pleuvoir bientôt.	Ngalhengekanaya embula ngoyikandiwa sesene.
J'achetais beaucoup de choses.	Nabyangahula bindu binzi.
Il y a quelques bons films cette semaine?	Hane ebisesani bibuya okoyenga eno ?
Elle tenait un parapluie.	Abya ahambire ehemanguma.
C'est difficile à croire.	Kikalhire erikirirya.
J'ai une douleur à la poitrine.	Nangwithe amaghali okokiba.
J'ai déjà lu tous les livres d'Harry Potter.	Nabirisoma ebithabu byosi ebya Harry Potter.
Venez avec moi, je vous prie.	Tughende naghe, ngasaba.
Allez-vous en ! Je ne veux pas vous parler !	Mughende ! Sinyanzire ngabugha nenyu !
Le problème est qu'elles ne pensent qu'à elles.	Bayanzire kutsibu, bakalhengekanaya oko biabo bissa.
Sa théorie est difficile à comprendre.	Olughobe lwiwe lukalhire eryowa.
Tu n'as rien à craindre.	Sighubahe kindu.
Nous reste-t-il de la bière ?	Obwasoma bukinemo ?
Mon père ne dit rien.	Thatha waghe syalhibugha kindu.
Tom m'a montré sa chambre.	Tom mwakangangaya ekisenge kiwe.
Ses cheveux cachaient son visage.	Esyonzwiri siwe sikabisa obusu.
Cette salle peut accueillir deux mille personnes.	Ekisenge kino kyangakochya ebihonye bibiri ebyabandu bikathokekana wangakolhirekyo.
Il vous faudra le faire par vous-même.	Ngambe iwakolkyo ighuwene.
Je ne crois pas que les choses changent.	Sindengekenye ebindu bikabinduka.
Cela fait longtemps que j'attends.	Ngalhinda erilwakera.
Mon conseil n'a pas été suivi.	Erihano ryaghe morithitha kwamwa.
J’ai tendance à regarder les images avant de lire le texte.	Nyinawithe akaruhuruhu akerilhebya ebisesani embere syerisoma ebisakire.
Où cette pièce va-t-elle ?	Ekindu eki kikayahi ?
Je veux tous vous remercier d'être venus ici aujourd'hui.	Nganza nyibasime inywe bosi okwihika munabwire.
Nous allons essuyer une tempête.	Thukandi sangula ekisunda.
Il demanda de l'aide à ses amis.	Neryo mwasaba obuwathikya bokobira wiwe.
Je l'ai déjà fait.	Nabirikolakyo.
Ce que tu ignores ne peut te faire de mal.	Ekyoghutasi sikyanga kuthonika.
Les enfants doivent obéir à leurs parents.	Abana bangasika ababuthibabo.
Quel gros gâteau !	Mbaghara ingahi eyo bundu !
Tom a gagné le concours.	Tom abiri kinda amathangwa.
Il faut que cela soit corrigé.	Ritholhere ekyo ikyasabulwa.
Accepteriez-vous ces conditions ?	Wanganalhighire esyondengo esyo ?
Pourriez-vous fermer la porte, s'il vous plaît ?	Wanamahinda oluyi, kishi kishi ?
Les gens qui jouent dans la boue auront leurs mains sales.	Abakatsingira omorithaka bakandilwaho ebyala byabo ibyabirisosa thiriri.
N'essaye pas de jouer le héros maintenant.	Sighulenge erisatha ngekihereri lhino.
Tout espoir a disparu.	Eriyikethera ryosi ryabya ryabirghenda.
Avez-vous oublié votre argent ?	Moghuka birirawa  esyosende syaghu ?
Elle me demanda d'aller la chercher à la gare.	Neryo mwanyisaba athi nyiya mu linde oko nghenda yesyo ngurubani shika hulawomo train omo kifranza.
Je suis resté alité toute la journée d'hier.	Munasibire omo njingo eritunzi rya muligholo riosi.
Garde un œil sur Tom.	Ubie ghune mu lebia Tom.
Pas encore !	Sibibyabya !
Nous viendrons te chercher.	Thukendisya kurondia.
Tu es trop jeune encore pour obtenir un permis de conduire.	Ukine mulhere erihabwa ehamuli eyerifuha.
Votre père est-il médecin ?	Thatha waghu ninamuthahwa ?
Il a mangé du riz deux fois par jour pendant de nombreuses années.	Mwakalhya omutsere kabiri okokiro omomiaka minzi.
Vous devez arrêter de faire ça sur-le-champ.	Ghulutwiraye ahonaho.
D'après ce que je sais, ils n'ont pas d'enfants.	Okobyonyasi, sibawithe abana.
Tom a fait des erreurs graves.	Tom mwakakola amalolo manzi.
T'as de jolies jambes.	Ghuwite maghulu awaghambire.
Ce n'est pas un problème.	Silubanza.
Je suis le seul à ne pas être tombé dans le piège.	Indi inzowene erithendi thoghera omo kithegho.
Je vous demande pardon ?	Ngakusaba obughanyiri ?
Es-tu en train de tomber amoureux de moi ?	Une munyanza ?
C'est une table.	Nibutara.
Pourquoi avez-vous écrit ce livre ?	Busanaki uliasaka ekithabu eki ?
J'étais toujours différent.	Nabya nyighabaghabene.
Le monsieur sait mieux lui-même la valeur de sa propre vie.	Omulumuna anasi iyuwenene endundi eyeribyaho riwe.
Attends ici. Je reviendrai bientôt.	Ndinde hano. Ngandiasa sisene.
Je l'ai rencontrée il y a une heure.	Mongamusunga hamahwa saanguma.
Il est soit fou, soit drogué.	Nimusire kutse, anywire ebanzi.
Ma famille a vécu ici pendant vingt ans.	Ekihanda kyaghe mokikabugha hano emikera makumi abiri.
Je suis beaucoup plus jeune que Tom.	Nyiri musimbi kulaba Tom.
Cette femme sait précisément qu'elle ne sait pas ce qu'elle veut.	Omukalhi oyu anasi ndeke kosyasi ekianzire.
Je voudrais boire quelque chose de chaud.	Nganza nyinywe ebindu ebihuhire.
Il était presque noyé.	Abya hakuhi inya sende.
Dis bonjour à ta femme de ma part, s'il te plaît.	Uramukaye mukali waghu, kishi kishi.
Est-ce que Tom va bien ?	Tom ana bukire ?
Ne lui parle pas comme ça.	Sighumubwire uthia.
Je ne suis pas bien réveillé ce matin.	Monyithabuka ndeke munabwire.
Elle en a une : dans le cœur du peuple chinois.	Anawithe kwekighuma : omokati kaba nya chine.
Tu vas le casser si tu ne fais pas attention.	Uthithalhebyandeke ighukandi twakyo.
Je serais malheureux, mais je ne me suiciderais pas.	Nangabere muhanya, alhiwe sinendisyayitha.
Il se fait une règle d'écrire dans son journal tous les jours.	Abiriyitheka erisaka omokisayikiwe obulikiro.
S'il te plaît, dis-moi que c'est dingue !	Kishi kishi, mbwire uthi sikyowene !
L'agent de service m'a aidé à résoudre mon problème.	Omukholiwe mibiri mwaka  ngwathikaya eri soha mbanza riaghe.
Excusez-moi, combien cela coûte ?	Nganyire ekyo kikaghula kithi ?
Dois-tu faire ça à chaque fois ?	Ukandibya ukakola uthya kanzi kanzi ?
Elle parle bien.	Akabugha ndeke.
Tu me manques beaucoup.	Wamambulako.
Je travaille de nuit.	Ngakol'omo kiro.
J'ai repris l'entreprise de Père.	Nabiri subira omubiri wa thatha.
J'ai vraiment passé du bon temps.	Monga labaya ndambi yuwene.
Comme c'est dégueulasse !	Kingana na kino !
Je n’ai rien entendu.	Sinyithowa kindu.
Quelle bonne idée !	Rilhengekania ryowene !
Je ne ferais jamais quelque chose comme ça.	Sinendisyathakola nahake ekindu ekiringeki.
Tom regrette de ne pas être allé au théâtre hier.	Tom akasweka komwathayire eyiri ebisanda muligholo.
Il vient d'arriver.	Amabihika.
J'attends qu'il m'aide.	Ngalhinda angwatikaye.
La vie est parfois étrange.	Eribyaho rika swekaya kanzi kanzi.
Quelqu'un a-t-il eu mal ?	Hane oyulia humera ?
Connais-tu quelqu'un sachant parler français ?	Unasi omundu oyo wanganathoka eribugha ekifranza ?
Il a marché dans le parc hier.	Mwalhendere omoluparake momuligholo.
Je ressentis une douleur soudaine au côté.	Neryo munowa amaghali ghoko lundi luhande.
À cause de la pluie, nous n'avons pas pu jouer au tennis à l'extérieur.	Vusana nembula, motuthithasathira ehihya.
J'ai perdu mon inspiration.	Nabyanibiri herya ebyonabya niyitaghire.
Il était parfaitement détendu et n'opposa aucune résistance mais me lança un regard si hideux que cela me fit transpirer à grosses gouttes.	Abya inyana kingwire kandi isyalhithoka oko butswebibalhiwe mwandebya omo meso nekyo mokyanyibyako ngabithondi.
J'aimerais que tu n'aies pas à y aller.	Nananzire isiwa yayo.
