fra	swc	swc_clean
La société a été fondée en 1930.	Iyi kampuni ilianzishwa munamo mwaka wa 1930.	Iyi kampuni ilianzishwa munamo mwaka wa 1930.
La télé ruine la vie de famille.	Télévision inaaribishaka tabia ya batu ndani ya familia.	Télévision inaaribishaka tabia ya batu ndani ya familia.
Qui d'autre est venu à la fête ?	Nani mwingine alikuya ku sherehe?	Nani mwingine alikuya ku sherehe?
C'était trop dur.	Ilikuwa vigumu sana.	Ilikuwa vigumu sana.
Je suis allé en Italie pour la seconde fois en 1980.	Nilienda Italia kwa mara ya pili munamo mwaka wa 1980.	Nilienda Italia kwa mara ya pili munamo mwaka wa 1980.
Demandez au poste de police là-bas.	Uliza kituo cha polisi hapo.	Uliza kituo cha polisi hapo.
Quand ton anniversaire a-t-il lieu ?	Siku yako ya kuzaliwa inakuwaka siku gani ?	Siku yako ya kuzaliwa inakuwaka siku gani ?
Mes dents me font mal.	Meno yangu inanisumbua (meno yangu iko naniluma).	Meno yangu inanisumbua.
Elle a fermé la porte à clé.	Alifunga mulango na fungulo.	Alifunga mulango na fungulo.
Miracle ! Le lien fonctionne !	Muujiza! Kiunganishio kinatumika!	Muujiza! Kiunganishio kinatumika!
Je me fais plus vieux et je ne veux plus travailler de nuit.	Minaendelea kuzeeka na sitaki kufanya kazi busiku tena.	Minaendelea kuzeeka na sitaki kufanya kazi busiku tena.
C'est une énorme responsabilité.	Ni jukumu kubwa.	Ni jukumu kubwa.
Ce n'est pas un secret que l'opinion de Tom est différente de la tienne.	Aiko siri kwamba maoni ya Tom ni tafauti na maoni yako.	Aiko siri kwamba maoni ya Tom ni tafauti na maoni yako.
Je suis votre voisin.	Niko jirani yako.	Niko jirani yako.
N'essayez pas de faire deux choses à la fois.	Usijaribu kufanya bitu mbili kwa wakati moja.	Usijaribu kufanya bitu mbili kwa wakati moja.
Je n'aimerais pas vivre là-bas.	Singependa kuishi huko.	Singependa kuishi huko.
C'est un peu injuste.	Iyo sio haki.	Iyo sio haki.
Ils finirent leur repas.	Balimaliza chakula yabo.	Balimaliza chakula yabo.
Il est venu vers quatre heures.	Alifika karibu saa ine za asubui.	Alifika karibu saa ine za asubui.
Il me faut un miracle.	Minahitaji muujiza.	Minahitaji muujiza.
Je me rappelle l'année où il a eu un travail.	Nakumbuka mwaka yenye alipata kazi.	Nakumbuka mwaka yenye alipata kazi.
Tom est souvent en voyage.	Mara mingi Tom anazowea kuwa mu safari.	Mara mingi Tom anazowea kuwa mu safari.
Sans mon conseil, tu aurais échoué.	Bila mashauri yangu, ungeshindwa.	Bila mashauri yangu, ungeshindwa.
Tu as une bonne réputation.	Uko na tabia ya muzuri.	Uko na tabia ya muzuri.
Je dois à mon oncle ce que je suis aujourd'hui.	Vile niko leo ni juu ya muyomba yangu.	Vile niko leo ni juu ya muyomba yangu.
Elle se dressa pour ce qui était juste.	Alisimama kwa (kupigania) haki.	Alisimama kwa haki.
Je ne veux même pas que tu sois là.	Sitaki ata ukuwe pale.	Sitaki ata ukuwe pale.
Je déteste ma voix.	Nachukia sauti yangu.	Nachukia sauti yangu.
Il y a beaucoup trop de monde dans cette pièce.	Piko batu mingi mwa iyi chumba.	Piko batu mingi mwa iyi chumba.
Savez-vous comment vous rendre chez nous ?	Unajua ginsi ya kwenda kwetu?	Unajua ginsi ya kwenda kwetu?
Dis-moi la raison pour laquelle tu étais en retard à l'école.	Niambie sababu yenye ilifanya ufike ku masomo nyuma leo.	Niambie sababu yenye ilifanya ufike ku masomo nyuma leo.
En raison d'une grave maladie, il ne peut pas mouvoir son corps comme la plupart des gens le peuvent.	Hawezi kusonga (tingiza) mwili wake kama watu wengi wanavyoweza kwa sababu ya ugonjwa mubaya.	Hawezi kusonga mwili wake kama watu wengi wanavyoweza kwa sababu ya ugonjwa mubaya.
L'as-tu embrassée ?	Ulimukumbatia?	Ulimukumbatia?
Il est maintenant à court d'argent.	Hana tena pesa.	Hana tena pesa.
Cette salle est pleine de soleil.	Piko jua mingi mwa iyi ukumbi.	Piko jua mingi mwa iyi ukumbi.
C'est dangereux de passer par le pont.	Ni hatari kupitia ku kilalo.	Ni hatari kupitia ku kilalo.
Laissez-moi regarder !	Niache niangalie!	Niache niangalie!
C'est plus dangereux que je ne le pensais.	Ni hatari sana kuliko ginsi nilikuwa nafikiria.	Ni hatari sana kuliko ginsi nilikuwa nafikiria.
J'ai laissé mon parapluie ici la semaine dernière.	Niliacha mwamvuli yangu hapa juma yenye ilipita.	Niliacha mwamvuli yangu hapa juma yenye ilipita.
Je veux vraiment vous embrasser.	Nataka ku kukumbatia.	Nataka ku kukumbatia.
Tu cuisines vraiment bien.	Unajua kupiga muzuri.	Unajua kupiga muzuri.
Ce n'est pas Tom qui a emprunté ma voiture.	Aiko Tom njo alihazima gari yangu.	Aiko Tom njo alihazima gari yangu.
Le pape visita le Brésil.	 Papa alitembelea Brazil.	 Papa alitembelea Brazil.
J'imagine que j'aurais dû le lire plus attentivement.	Nazani ningepashwa kuisoma kwa uangalifu zaidi.	Nazani ningepashwa kuisoma kwa uangalifu zaidi.
Permettez-moi de me présenter.	Niruhusu nijitambulishe.	Niruhusu nijitambulishe.
Ils se sont mariés quand ils étaient encore jeunes.	Walioana wakati walikua bado vijana.	Walioana wakati walikua bado vijana.
Je suis sage.	Niko na hekima.	Niko na hekima.
Ça goûte le poulet.	Iko na onjo sawa ya nyama ya kuku.	Iko na onjo sawa ya nyama ya kuku.
Je me réjouis de vous revoir bientôt.	Natarajia kukuona tena mu siku kidogo zenye ziko mbele.	Natarajia kukuona tena mu siku kidogo zenye ziko mbele.
Je n'ai pas le choix. Je dois le faire.	Sina chaguo (sina ginsi ingine ya kufanya). Lazima niifanye.	Sina chaguo. Lazima niifanye.
Je veux les voir.	Napenda kuwa ona.	Napenda kuwa ona.
Une heure de plus et la dinde sera prête.	Nyama ya dinde itakuwa tayari mu saa moya.	Nyama ya dinde itakuwa tayari mu saa moya.
Ils sont vraiment grands.	Ni ya mukubwa kabisa.	Ni ya mukubwa kabisa.
Chien qui aboie ne mord pas.	Imbwa yenye inafoka ailumake.	Imbwa yenye inafoka ailumake.
C'était l'heure du déjeuner.	Ilikua wakati wa chakula ya muchana.	Ilikua wakati wa chakula ya muchana.
Il est gentil plutôt que doux.	Yeye ni mtu muzuri kuliko mupole.	Yeye ni mtu muzuri kuliko mupole.
Pourriez-vous composer le numéro pour moi ? Le téléphone est placé trop haut.	Je, unaweza kunipigia iyi numéro (namba) ya téléphone? Téléphone (simu) inawekwa yulu sana.	Je, unaweza kunipigia iyi numéro ya téléphone? Téléphone inawekwa yulu sana.
Je m'excuse pour hier.	Naomba musamaha kuhusu jana.	Naomba musamaha kuhusu jana.
Il ne capte simplement pas.	Haelewi kitu kabisa.	Haelewi kitu kabisa.
Tu aurais dû me dire ça avant.	Ungepashwa niambie tangu mbele.	Ungepashwa niambie tangu mbele.
La boîte est presque vide.	Sanduku iko karibu wazi.	Sanduku iko karibu wazi.
Tom est élégant.	Tom anapendeza sana.	Tom anapendeza sana.
La synchronisation est horrible.	Mabadadiliko (marekebisho) ni ya mubaya sana.	Mabadadiliko ni ya mubaya sana.
Allons-y !	Twende!	Twende!
Voyages-tu seul ?	Unasafiri wepeke ?	Unasafiri wepeke ?
Tom a demandé à Marie de ne pas discuter de ce sujet avec quelqu'un d'autre.	Tom alimwambia Maria asizungumuzie iyi habari na mutu mwingine.	Tom alimwambia Maria asizungumuzie iyi habari na mutu mwingine.
Tom a descendu les escaliers.	Tom alishuka escaliers.	Tom alishuka escaliers.
J'ai des devoirs à terminer.	Niko na kazi zakumalizia.	Niko na kazi zakumalizia.
Je ne m'y connais peut-être pas beaucoup, mais je sais que Tom ne sait pas de quoi il parle.	Sijui mingi zaidi, alakini minajua kama Tom hajui byenye iko nazungumuza.	Sijui mingi zaidi, alakini minajua kama Tom hajui byenye iko nazungumuza.
Nous ne faisons pas confiance à Tom.	Hatumwamini Tom.	Hatumwamini Tom.
Il y a une roche sur le plancher.	Piko lijiwe ya mkubwa yulu ya mbao.	Piko lijiwe ya mkubwa yulu ya mbao.
Vous n'allez pas le dire à mes parents, n'est-ce pas ?	Hautaambia wazazi wangu, si ndiyo?	Hautaambia wazazi wangu, si ndiyo?
As-tu déjà porté des sous-vêtements longs ?	Je, ulishaka vala calecons (chupi) ya murefu?	Je, ulishaka vala calecons ya murefu?
Par ici !	Pitia hapa!	Pitia hapa!
Demain, c'est dimanche.	Kesho ni siku ya Mungu.	Kesho ni siku ya Mungu.
Le garçon s'est presque noyé.	Kijana alikaribia kuzama.	Kijana alikaribia kuzama.
J'aime ce chien.	Minapenda iyi imbwa.	Minapenda iyi imbwa.
Il chante très bien.	Anaimba muzuri.	Anaimba muzuri.
On ne peut pas vivre avec dix mille yens par mois.	Hauwezi ishi na (franga za) yen elfu kumi ku mwezi.	Hauwezi ishi na yen elfu kumi ku mwezi.
Tom est sans domicile fixe.	Tom hana makao kamili.	Tom hana makao kamili.
Ceux qui habitent des maisons de verre ne devraient pas lancer de pierres.	Wale ambao wanaishi katika nyumba za bio hawapashwi tupa majiwe.	Wale ambao wanaishi katika nyumba za bio hawapashwi tupa majiwe.
J'ai dormi deux heures dans l'avion.	Nililala ma saa mbili mu avion (ndege).	Nililala ma saa mbili mu avion.
Nous allons continuer à le faire jusqu'à ce que quelqu'un nous dise que nous ne le pouvons pas.	Tutaendelea nafanya hivi mpaka mtu atuambie hatuwezi.	Tutaendelea nafanya hivi mpaka mtu atuambie hatuwezi.
Combien t'en reste-t-il ?	Inakubakia na ngapi?	Inakubakia na ngapi?
J'ignorais ça jusqu'à ce matin.	Leo asubuhi njo nilijua hivo.	Leo asubuhi njo nilijua hivo.
Prenez rendez-vous.	Fanya mupango naye.	Fanya mupango naye.
Arrête d'aller là-bas.	Acha kwenda kule.	Acha kwenda kule.
Il ouvrit la porte.	Alifungula mulango.	Alifungula mulango.
Qu'as-tu pensé de Tom ?	Uliwaza nini kuhusu Tom?	Uliwaza nini kuhusu Tom?
Son mari est sur son lit de mort.	Bwana yake iko ku kitanda ya mauti.	Bwana yake iko ku kitanda ya mauti.
Nous avons deux filles.	Tuko na babinti bawili.	Tuko na babinti bawili.
Je ne parle que le français.	Naongea tu Kifaransa.	Naongea tu Kifaransa.
Je connais les conséquences potentielles.	Najua hatari zenye zinaweza kutokea.	Najua hatari zenye zinaweza kutokea.
Je me douche quotidiennement.	Minakogaka kila siku.	Minakogaka kila siku.
Il faudrait que tu ailles jusqu'au bout de ton premier plan.	Ungepashwa endelea na mpango yako ya kwanza mpaka mwisho.	Ungepashwa endelea na mpango yako ya kwanza mpaka mwisho.
Il se met à neiger.	Neiges zinaanza mwangika (shuka).	Neiges zinaanza mwangika.
Vos parents parlent-ils le français ?	Wazazi wako wanasemaka Kifaransa?	Wazazi wako wanasemaka Kifaransa?
Toutes les nuits, elle reste éveillée jusqu'à ce que son mari rentre à la maison.	Kila busiku anabakiaka anakesha mpaka saa bwana yake anarudia kunyumba.	Kila busiku anabakiaka anakesha mpaka saa bwana yake anarudia kunyumba.
Elle se mit à faire courir ses doigts dans ses cheveux.	Alianza pitisha bidole yake mu nywele zake.	Alianza pitisha bidole yake mu nywele zake.
L'allemand est la meilleure langue du monde.	Kijerumani njo lugha bora ya kwanza duniani.	Kijerumani njo lugha bora ya kwanza duniani.
Tom choisit la solution de facilité.	Tom anachagula njia (suluhisho) rahisi.	Tom anachagula njia rahisi.
Cette boîte est d'une autre couleur que celle-là.	Rangi ya iyi sanduku iko tafauti na ya ile ingine.	Rangi ya iyi sanduku iko tafauti na ya ile ingine.
Elle est arrivée là-bas avant Tom.	Alifika pale mbele ya Tom.	Alifika pale mbele ya Tom.
Il sera en train de dormir.	Itakuwa analala.	Itakuwa analala.
Il vous a tout sacrifié.	Alikupatia kila kitu.	Alikupatia kila kitu.
Vous parlez en anglais ?	Unasema mu Kingereza?	Unasema mu Kingereza?
Nous allons nous marier en octobre.	Tutaoana mwezi wa kumi.	Tutaoana mwezi wa kumi.
Va-t-il bien ?	Anaendelea muzuri?	Anaendelea muzuri?
Te faut-il un chauffeur pour rentrer chez toi ?	Je, unahitaji dereva (chauffeur) kwa kurudi kwako?	Je, unahitaji dereva kwa kurudi kwako?
Je n'ai pas encore décidé quoi faire.	Sijahamua chakufanya.	Sijahamua chakufanya.
Les vaches vivent sur l'herbe.	Ngombe zinaishiki ku nyasi.	Ngombe zinaishiki ku nyasi.
Tom est un gosse de riche.	Tom ni mutoto wa tajiri.	Tom ni mutoto wa tajiri.
Tiens ta langue ou tu seras puni.	Shika ulimi yako kama aiko ivo utaazibiwa.	Shika ulimi yako kama aiko ivo utaazibiwa.
Je ne peux plus supporter ce froid.	Siwezi vumilia tena iyi baridi.	Siwezi vumilia tena iyi baridi.
Soyons simplement amis !	Tubakie tu marafiki!	Tubakie tu marafiki!
Je veux ce boulot.	Nataka iyi kazi.	Nataka iyi kazi.
Ne lui dis pas.	Usimwambie.	Usimwambie.
Je vais ouvrir la boîte et regarder ce qu'il y a à l'intérieur.	Ndafungula sanduku na niangalie nini njo iko ndani.	Ndafungula sanduku na niangalie nini njo iko ndani.
Lave-toi le visage.	Nawa sura yako.	Nawa sura yako.
La conquête normande de l'Angleterre eut beaucoup d'influence sur la langue anglaise.	Ushindi wa Norman wa Uingereza ulikuwa na ushawishi mkubwa kwa lugha ya Kiingereza.	Ushindi wa Norman wa Uingereza ulikuwa na ushawishi mkubwa kwa lugha ya Kiingereza.
Elle lui a transmis des signaux contradictoires.	Alimupa signal (ishara) zaku tofautiyana.	Alimupa signal zaku tofautiyana.
Il avait marché durant des heures.	Alitembeaka kwa masaa mingi.	Alitembeaka kwa masaa mingi.
Depuis combien de temps habites-tu ici ?	Unaishi hapa kwa muda gani?	Unaishi hapa kwa muda gani?
Mon frère aîné a décroché un poste dans une grosse boîte.	Kaka yangu mukubwa alipata kazi kwenye shirika kubwa.	Kaka yangu mukubwa alipata kazi kwenye shirika kubwa.
Tu n'as pas besoin de préparer une allocution formelle.	Hauna haja ya kuandaa hotuba (discours) rasmi.	Hauna haja ya kuandaa hotuba rasmi.
Elle n'a pas d'égale pour ce qui est de cuisiner chinois.	Hana mupinzani kwa kupiga chakula ya Kichina.	Hana mupinzani kwa kupiga chakula ya Kichina.
Tout s'est passé d'un coup.	Yote ilipitika mara moja.	Yote ilipitika mara moja.
Quels sont vos véritables sentiments ?	Hisia zako za kweli ni gani?	Hisia zako za kweli ni gani?
La prochaine fois que je serai à la plage, j'enverrai un message dans une bouteille.	Siku ndakuwaka tena ku plage, ndatumaka ujumbe kupitia chupa.	Siku ndakuwaka tena ku plage, ndatumaka ujumbe kupitia chupa.
Qu'est-ce qu'un dieu ?	Miungu ni nani ?	Miungu ni nani ?
Tom va perdre.	Tom atapoteza.	Tom atapoteza.
Je crois que nous nous sommes égarés.	Minawaza kama tulisha potea.	Minawaza kama tulisha potea.
Cela est d'aspect ordinaire.	Iyi ni kitu ya kawaida.	Iyi ni kitu ya kawaida.
Ne faites pas de bruit.	Usifanye fujo.	Usifanye fujo.
Je veux participer.	Minataka kushiriki.	Minataka kushiriki.
Mon appartement est proche d'ici.	Nyumba yangu iko karibu ya hapa.	Nyumba yangu iko karibu ya hapa.
Réfléchis-y encore une fois.	Ifikirie tena.	Ifikirie tena.
Je pensais vous y trouver.	Nilizani nitakukuta huko.	Nilizani nitakukuta huko.
Pierre le Cruel est également connu comme Pierre le Justicier.	Petro mufanya maovu (Pierre le cruel) anajulikana pia kama Petro mupiganiaji wa haki (Pierre le Justicier).	Petro mufanya maovu anajulikana pia kama Petro mupiganiaji wa haki.
C'est difficile d'oublier ce qui s'est passé.	Ni nguvu sana kusahau byenye bilipita.	Ni nguvu sana kusahau byenye bilipita.
Il s'est levé et est parti au milieu de la discussion.	Akashimama na kuondoka katikati ya mazungumzo.	Akashimama na kuondoka katikati ya mazungumzo.
Tu peux entrer.	Unaweza ingia.	Unaweza ingia.
Je croyais que Tom était mort.	Nilizani kama Tom alikua amekufa.	Nilizani kama Tom alikua amekufa.
Il est très ouvert.	Yeye ni muwazi sana.	Yeye ni muwazi sana.
Le jour se divise en matin, matinée, midi, après-midi, soir et nuit.	Siku inagawanyika kati ya asubuhi, ma asubuhi, muchana, kisha saa sita ya muchana, jioni na usiku.	Siku inagawanyika kati ya asubuhi, ma asubuhi, muchana, kisha saa sita ya muchana, jioni na usiku.
J'ai tellement ri que mon estomac me fait mal.	Nilicheka sana mpaka tumbu inaanza niluma.	Nilicheka sana mpaka tumbu inaanza niluma.
Ce n'est pas un sujet de plaisanterie.	Haiko kitu ya kuchekesha.	Haiko kitu ya kuchekesha.
Tom a retrouvé le porte-monnaie qu'il croyait avoir perdu après avoir fouillé la maison de tous bords tous côtés.	Tom alipata mkoba yake ya kuwekea amo pesa (porte-monnaie) yenye alikuwa nazania alipoteza kisha kupekua fasi zote mu nyumba.	Tom alipata mkoba yake ya kuwekea amo pesa yenye alikuwa nazania alipoteza kisha kupekua fasi zote mu nyumba.
Il a essayé fort mais il a échoué.	Alijaribu sana lakini alishindwa.	Alijaribu sana lakini alishindwa.
Je n'ai pas eu beaucoup de sommeil.	Sikupata busingizi mingi.	Sikupata busingizi mingi.
J'aime ta manière de parler.	Minapenda namna yako yakuongea.	Minapenda namna yako yakuongea.
Je ne pense pas qu'on puisse lui faire confiance.	Sizani kama ni mutu wakuaminika.	Sizani kama ni mutu wakuaminika.
Je le fais pour eux.	Naifanya juu yabo.	Naifanya juu yabo.
Il ne reste pas de nourriture.	Hakuna tena chakula.	Hakuna tena chakula.
Ils s'aimaient.	Walikua wanapendana.	Walikua wanapendana.
Je ne vous dois rien !	Sina deni yako!	Sina deni yako!
Je suis trop fatigué pour conduire. Pourriez-vous conduire ?	Siwezi tembeza gari juu minachoka. Unaweza tembeza gari?	Siwezi tembeza gari juu minachoka. Unaweza tembeza gari?
Pouvez-vous traverser la rivière à la nage ?	Je, unaweza kuvuka mutoni kwa kuogelea?	Je, unaweza kuvuka mutoni kwa kuogelea?
Avant demain matin cette fille l'aura fini.	Kabla ya kesho asubuhi huyu musichana atakuwa alisha maliza.	Kabla ya kesho asubuhi huyu musichana atakuwa alisha maliza.
Ce n'est pas exactement ce que je voulais, mais je l'ai acheté malgré tout.	Aiko njo kyenye nilikuwa alakini niliuza tu vile.	Aiko njo kyenye nilikuwa alakini niliuza tu vile.
Un chat est sous la table.	Pusi iko chini ya meza.	Pusi iko chini ya meza.
Pourquoi me faites-vous ça ?	Juu ya nini unanifanyia hivi?	Juu ya nini unanifanyia hivi?
Je vous apprécie en tant qu'ami.	Minakupenda kama rafiki.	Minakupenda kama rafiki.
Je ne me souviens pas quand et où je t'ai rencontré.	Sikumbuki nilikutana na weye wapi na wakati gani.	Sikumbuki nilikutana na weye wapi na wakati gani.
Il a une voiture japonaise.	Iko na gari ya Kijapani.	Iko na gari ya Kijapani.
Je savais que c'était ce que tu voulais.	Nilijua kama iyi njo ulikuwa nataka.	Nilijua kama iyi njo ulikuwa nataka.
Nous devrions attendre.	Tunapashwa chunga.	Tunapashwa chunga.
C'est dommage que le professeur quitte notre école.	Ni huzuni kuona mwalimu anatoka ku masomo yetu.	Ni huzuni kuona mwalimu anatoka ku masomo yetu.
Notre vol part à 14 h 30.	Avion (ndege) yetu itaondoka saa 7 na dakika makumi tatu za muchana.	Avion yetu itaondoka saa 7 na dakika makumi tatu za muchana.
La nuit dernière, quelqu'un a cambriolé une boutique près de chez moi.	Jana busiku, mtu aliiba mu duka ya karibu ya kwenye minaishi.	Jana busiku, mtu aliiba mu duka ya karibu ya kwenye minaishi.
Si j'avais eu le temps, je l'aurais fait.	Ningekuwaka na wakati, ningefanya hivyo.	Ningekuwaka na wakati, ningefanya hivyo.
Qu'as-tu dans ton sac ?	Nini njo unako nayo mu mukoba yako?	Nini njo unako nayo mu mukoba yako?
Tom et Marie ont étudié ensemble.	Tom na Maria balisomaka pamoja.	Tom na Maria balisomaka pamoja.
S'il travaillait dur, il pourrait avoir son examen.	Ingekuwa alifanya kazi kwa bidii, angeweza kufanya (pitisha) mtihani wake.	Ingekuwa alifanya kazi kwa bidii, angeweza kufanya mtihani wake.
Ne compare jamais ta femme à une autre femme.	Usijaribu linganisha bibi yako na mwanamuke mwingine.	Usijaribu linganisha bibi yako na mwanamuke mwingine.
Ne retire pas toutes les pierres du chemin de tes enfants, sans quoi ils se heurteront un jour, en courant, la tête dans un mur.	Usitoe majiwe yote kutoka mu njia kwenye batoto yako banapita, bila ivyo siku moya watakimbiaka na haraka nakujigonga kwenye ukuta.	Usitoe majiwe yote kutoka mu njia kwenye batoto yako banapita, bila ivyo siku moya watakimbiaka na haraka nakujigonga kwenye ukuta.
Nous sommes restés silencieux.	Tulibakia kimya.	Tulibakia kimya.
Tom m'a dit que Mary était morte lundi.	Tom aliniambia kama Maria alikufa siku ya kwanza.	Tom aliniambia kama Maria alikufa siku ya kwanza.
Il ne pouvait pas s'empêcher de le tripoter.	Akuweza kujizuia kuigusa gusa.	Akuweza kujizuia kuigusa gusa.
As-tu une solution ?	Uko na suluhisho?	Uko na suluhisho?
Il a écrit ce poème la nuit dernière.	Aliandika hii poème jana busiku.	Aliandika hii poème jana busiku.
Reste près.	Bakia karibu.	Bakia karibu.
Ne parlez pas de ça.	Usiongelee iyo.	Usiongelee iyo.
Qui que ce soit qui dit cela est un menteur.	Mutu yeyote mwenye anasema vile ni muongo.	Mutu yeyote mwenye anasema vile ni muongo.
Que veux-tu de moi ?	Unataka nini kwangu?	Unataka nini kwangu?
Nous ne sommes pas encore désespérés.	Hatuya poteza matumaini bado.	Hatuya poteza matumaini bado.
Il va probablement neiger demain.	Iko saa kesho kutakua neige.	Iko saa kesho kutakua neige.
J'ai vérifié deux fois pour m'assurer que nous n'avions fait aucune erreur.	Niliangalia mara mbili juu ya kuhakikisha kama hatukufanya makosa yoyote.	Niliangalia mara mbili juu ya kuhakikisha kama hatukufanya makosa yoyote.
Quel est le numéro de ma chambre ?	Numéro (namba) ya chumba yangu ni gani?	Numéro ya chumba yangu ni gani?
On a pris très peu de poissons dans cette rivière.	Tulipata samaki za kidogo sana mwa iyi mutoni.	Tulipata samaki za kidogo sana mwa iyi mutoni.
Nous lui rendons visite de temps en temps.	Tuna mutembeleaka mara kwa mara.	Tuna mutembeleaka mara kwa mara.
Je crois plus au régime qu'aux médicaments.	Minaamini zaidi malisho kuliko madawa.	Minaamini zaidi malisho kuliko madawa.
Ça fonctionne.	Inatumika.	Inatumika.
Et les voilà !	Njo hizi!	Njo hizi!
Maintenant, pourquoi irais-tu commettre une telle bêtise ?	Sasa juu ya nini unaweza enda fanya mambo ya kijinga?	Sasa juu ya nini unaweza enda fanya mambo ya kijinga?
J'ignore si je devrais rire ou pleurer.	Sijui kama nicheke ao nilie.	Sijui kama nicheke ao nilie.
Je ne peux rien promettre, mais je vais faire de mon mieux.	Siwezi kukuahidi chochote, lakini nitajitahidi.	Siwezi kukuahidi chochote, lakini nitajitahidi.
Tu n'as pas bu cette eau, hein ?	Haukukunywa iyi mayi eh?	Haukukunywa iyi mayi eh?
Tom s'est fait mal.	Tom alijilumiza.	Tom alijilumiza.
Nous répétons beaucoup.	Tunarudialia mara mingi.	Tunarudialia mara mingi.
Combien de fois devriez-vous exercer ?	Mungefanya mazoezi mara ngapi?	Mungefanya mazoezi mara ngapi?
Allons manger ensemble.	Twende kula pamoja.	Twende kula pamoja.
Qui penses-tu qu'est cet homme ?	Unafikiri huyu mutu ni nani?	Unafikiri huyu mutu ni nani?
J'ai été promu il y a trois mois.	Nilipandishwa cheo miezi tatu yenye ilipita.	Nilipandishwa cheo miezi tatu yenye ilipita.
Cet enfant est mince.	Uyu mutoto ni mwembamba (anagonda).	Uyu mutoto ni mwembamba.
Entends-tu quelque chose ?	Unasikia kitu?	Unasikia kitu?
Je me sens beaucoup mieux maintenant.	Najisikia muzuri zidi sasa.	Najisikia muzuri zidi sasa.
Dépêche-toi et tu seras à l'heure à l'école.	Harakisha na utafika mapema ku masomo.	Harakisha na utafika mapema ku masomo.
Que peux-tu m'enseigner ?	Unaweza nifundisha nini?	Unaweza nifundisha nini?
Nous devrions y parvenir si la circulation n'est pas trop encombrée.	Tutafika kama embouteillage mu balabala aiko mingi.	Tutafika kama embouteillage mu balabala aiko mingi.
Veux-tu manger ça ?	Unataka kula iyi?	Unataka kula iyi?
N'y prête pas attention.	Usiijali.	Usiijali.
« D'où Tom tient-il cette facilité pour le français ? Il n'a jamais mis les pieds dans un pays francophone et n'a pas non plus d'amis francophones. » « Je crois qu'il regarde beaucoup de films français sur Internet. »	«Nini njo inatuma Tom anaongea Kifaransa kwa urahisi?» Hajawahi kufika mu nchi inayozungumuza Kifaransa na hana marafiki wenye wanazungumuza Kifaransa. «Nazani anaangalia films (filamu) mingi za Kifaransa kwenye internet». »	«Nini njo inatuma Tom anaongea Kifaransa kwa urahisi?» Hajawahi kufika mu nchi inayozungumuza Kifaransa na hana marafiki wenye wanazungumuza Kifaransa. «Nazani anaangalia films mingi za Kifaransa kwenye internet». »
Je veux être cosmonaute.	Nataka kuwa cosmonaute (dereva wa kutembeza chombo ya kwenda angani).	Nataka kuwa cosmonaute.
Je ne permettrais jamais cela.	Sitaruhusu ile ata siku moya.	Sitaruhusu ile ata siku moya.
