fra	lin
Tu as entendu un bruit derrière toi.	Oyokaki makelele moko nsima na yo.
Tu as commis cette erreur exprès, n'est-ce pas ?	Osalaki libunga oyo na nkoo, boye te?
Pourquoi as-tu pleuré ?	Olelaki mpo na nini?
Nous avions nos raisons.	Tozalaki na ntina na biso.
Tu dois appeler Tom immédiatement.	Osengeli kobenga Tom sikawa.
C'est déjà l'été.	Tosili kokota na elanga.
Ce n'est pas du chiqué.	Ezali lolendo te.
Tom ne m'a pas payé autant qu'il l'a promis.	Tom afutaki ngai te lokola alakaki.
Ils ne peuvent me voir.	Bakoki komona ngai te.
Profitez de la soirée au bal.	Zwa litomba na limpati ya nteke.
Des monnaies antiques furent trouvées à l'intérieur de la mystérieuse tombe.	Misolo mya kalakala mimonanaki na kati ya nkunda ya kokamwa.
Mon père m'a emmené au cinéma hier soir.	Tata amemaki ngai na sinema lobi loleki na mpokwa.
Vous pouvez choisir le livre que vous aimez.	Okoki kopona buku oyo olingi.
Tu es un bon étudiant.	Ozali moyekoli malamu.
Combien en as-tu eu ?	Ozwaki yango boni?
Restez en ligne, s'il vous plaît.	Tikala na nzela ya nsinga, tosengi na yo.
Nous partons maintenant.	Tozali kokende sikawa.
Nous n'avons pas encore planifié nos vacances.	Tobongisi naino te bopemi na biso.
Le soleil, ça fait toute la différence.	  Moyi esalaka bokeseni na nyoso.
Comment faisons-nous cela ?	Tosala yango ndenge nini?
Tu dois remettre les rapports lundi.	Osengeli kozongisa ndimbola mokolo ya mosala moko.
Je sais que tu te soucies de Tom.	Nayebi ete ozali komitungisa mpo na Tom.
Je ferais pareil.	Nakosala nse bongo.
Il se lassa bientôt.	Ewumelaki te alembaki.
Il faut que tu essaies ça.	Osengeli komeka oyo.
Je me suis descendu à son niveau.	Namikitisaki tii na nivo na ye.
Il aime les jeux de hasard.	Alingaka masano ya konzo.
Elle m'a menti.	Akosaki ngai.
Nous l'avons élu maire.	Toponaki ye moyangeli ya engumba.
Nous avons presque fini pour aujourd'hui.	Tokomi kosilisa mpo na lelo.
Je suis devenu ami avec Tom.	Nakomi moninga ya Tom.
Vous n'êtes jamais allé à Paris ?	Naino okenda na  Paris te?
Quand la fête a-t-elle lieu ?	Ntango nini nteke esalamaki ?
Je dois déjeuner avec lui.	Nasengeli koliya na ye elongo na ntongo.
Je préfère l'anglais.	Naponi monoko ya angele.
Il s'inquiète pour les résultats de l'examen.	Azali komitungisa mpo na biyano ya ekizame.
Elle est fière d'être belle.	Azali na lolendo ya kozala kitoko.
Père lisait souvent des romans policiers pendant son temps libre.	Tata azalaki na momesano ya kotanga buku polisi  mpo na kolekisa ntango.
Sers-toi une boisson !	Mitiyela masanga !
C'est arrivé ce matin pour vous.	Ekomaki na ntongo oyo mpo na bino.
La serviette ne fut pas du tout utile.	Lisume ezalaki mpenza na ntina te.
C'est mieux que le film.	Eleki film na kitoko.
Ils vous aideront à vous réchauffer.	Bakosunga bino mpo na kozwa molunge.
Cela peut avoir de sérieuses conséquences.	Yango ekoki kozala na mbano ya makasi mingi.
Je préférerais vraiment ne pas savoir.	Nakosepela mpenza te koyeba yango.
Qui commande ici ?	Nani mokambi awa?
Tu as un téléphone chez toi.	Ozali na telefone epai na yo.
J'imagine que non.	Nabanzi te.
Il se met parfois en colère pour rien.	Asilikaka ntango mosusu mpamba.
Ça n'a pas été fait auparavant.	Naino esalema liboso te.
Marie se défendait.	Marie azalaki komilongisa.
Tu te dépêchais.	Ozalaki kowelisa.
Ce soir, mangeons dehors.	Na mpokwa ya lelo, tokende koliya libanda.
Dan a été profondément troublé par la mort de Linda.	Dan atungisamaki mingi na liwa ya Linda.
Tu voulais me parler de liberté ?	Olingaki koloba na ngai mpo na bonsomi ?
Nous sommes des hommes occupés.	Tozali mibali ya misala mingi.
Tu as craqué pour lui, n'est-ce pas ?	Olangwe ye, boye te?
Ta femme te manque-t-elle ?	Ozali na mposa ya mwasi na yo?
C'est un livre espagnol.	Ezali buka ya ba esipanyole.
C'est mal de dire un mensonge.	Kobuka lokuta ezali mabe.
Quand avez-vous commencé à apprendre l'anglais ?	Uta ntango nini obandaki koyekola lokoto ya angele ?
Tom a acheté un appareil photo comme le tien.	Tom asombi esaleli ya foto lokola oyo ya yo.
Notre ville n'a pas encore l'eau courante.	Engumba na biso ezwi naino mayi ya malamu te.
Ne ronge pas tes ongles.	Koliyaliya manzaka na yo te.
Elle arriva en courant, les yeux brillants.	Ayaki na lombangu mpenza, miso mazalaki kongenga.
Tom sera heureux de te revoir.	Tom akosepela  komona yo lisusu.
Je te donnerai tout ce que tu veux.	Nakopesa yo nyonso oyo olingi.
J'ai manqué mon train.	Nazangaki engbunduka.
J'ai acheté ces fleurs pour toi.	Nasombeli yo ba fololo oyo.
Elle est aussi vieille que la grand-mère du diable.	Asili kokoma mobange lokola koko ya zabulu.
Je suis de ton avis.	Nandimi makanisi na yo.
Moi non plus.	Ngai mpe te.
As-tu déjà embrassé une autre nana ?	Osila koyamba elenge mwasi mosusu ?
L'homme était trop gros pour se déplacer par lui-même.	Moto yango azalaki monene mingi mpo na kotambola ye moko.
Ma sœur est un génie !	Ndeko na ngai ya mwasi azali na mayele mingi !
Nous nous approchâmes chaque jour.	Tozalaka kopusana mokolo na mokolo.
Il prit un stylo dans sa main.	Akamataki ekomeli na loboko na ye.
Celui qui dit A doit aussi dire B.	Moto oyo alobi A asengeli mpe aloba B.
Ce bus va-t-il à la gare ?	Motuka oyo ezali kokende na gare ?
Ne le saviez-vous pas ?	Boyebaki yango te?
Dieu l'a créé.	Nzambe akela ye.
La vengeance est un plat qui se mange froid.	Kobukanisa ezali bileyi oyo eliyamaka ntango ekomi malili.
Vous me gênez.	Bozali kotungisa ngai.
Il est parti.	Akei.
Du poisson s'il vous plaît.	Yaka na mbisi, soki osepeli.
Ils sont nés à un mois d'intervalle en 1970.	Bakeseni na sanza moko ya mbotama na bango na mobu 1970.
Nous ne sommes pas perdus.	Tobungi te.
Je ne sais pas le distinguer de son frère.	Nayebi kokesanisa ye na ndeko na ye ya mobali te.
Je me casse.	Nakeyi.
On a trop parlé de ce mariage.	Tosololi mingi na ntina ya libala oyo.
Je lui demanderai demain.	Nakosenga ye lobi.
Père est allé à la pêche.	Tata akei koloba mbisi.
En es-tu sûr ?	Ozali na elikya na yango ?
J'attachai mon chien à un arbre dans le jardin.	Nakangisa mbwa na ngai na nzete moko na kati ya elanga.
Je pensais que j'étais en train de mourir.	Nakanisaki ete nazalaki kokufa.
Il n'y a pas de limites à l'univers.	Ndelo ezalaka na molongo mobimba te.
Je ferais mieux d'y aller, moi aussi.	Nakosala malamu ngai mpe nakende.
Ce bureau est différent de celui que j'ai commandé.	Bilo oyo ekesini na oyo ngai nasengaki.
Il est à l'étranger.	Azali na mboka ya bapaya.
L'éducation est importante.	Koyekola ezali na motuya.
Tom était très fiable.	Tom azali moto okoki kotiyela motema.
Qu’est-ce que cela signifie ?	Yango elingi koloba nini?
Il semble que la question était trop facile pour toi. La prochaine fois, je devrai en faire une un peu plus difficile.	Ezalaki komonana lokola motuna ezalaki mpete mingi mpo na yo. Mbala ya nsima, nakosengela kosala moko oyo ezali mwa makasi.
Elle sera de retour dans moins de dix minutes.	Akozonga yambo ba minuti zomi ekoka.
Y a-t-il un musée dans cette ville ?	Mize moko ezali na engumba oyo?
Tu es chanceux que personne ne t'ait vu faire ça.	Ozali moto ya libaku malamu ndenge moto moko te amoni yo.
Tom a aidé son fils à s'habiller.	Tom asungaki mwana na ye mpo alata bilamba.
Je pensais que ma tête allait exploser.	Nakanisaki ete moto mwa ngai  ekopasuka.
C'est un grand jour.	Ezali mokolo monene.
Ne vous prenez pas tant au sérieux !	Komizwa na eyongi mingi te!
Ils se marièrent et eurent beaucoup d'enfants.	Babalanaki mpe babotaki bana mingi.
Je n'aurais pas dû aller voir Tom.	Nasengelaki kokende kotala Tom te.
Ils partirent en voyage.	Bakendaki mobembo.
Elle dit qu'elle t'appellera plus tard.	Alobi ete akobengayo nsima.
Je sais que tu n'as pas peur.	Nayebi ete ozali kobanga te.
Elle a très peur des chiens.	Abangaka mbwa makasi.
J'attendrai ici jusqu'à ce qu'il revienne.	Nakozela awa kino akozonga.
Je suis certain de l'avoir déjà vu quelque part.	Nandimi ete nasila komona ye esika moko.
Puis-je emprunter votre stylo ?	Nakoki kodefa ekomeli na yo?
J'ai bu le café.	Namelaki café.
Ce n'est pas bon de fabriquer les mêmes vieux produits, année après année.	Ezali malamu te kosalaka kaka biloko moko ya kala mbula na mbula.
J'étudie avec beaucoup d'assiduité.	Nazali kotanga na molende mingi.
Tom a une maison avec piscine.	Ndako ya Tom ezali na liziba.
Nous sommes conscients des risques.	Toyebi malamu ete makama mazali.
Il devrait pleuvoir demain.	Mbula esengelaki konoka lobi.
Ferme tes yeux un instant et cherche la réponse.	Kanga miso mwa moke mpe luka eyano.
Je suis au courant.	Nayebi.
Il portait une grande boîte dans ses bras.	Amemaki sanduku moko ya monene na maboko na ye.
Il quitta son équipe car il ne s'entendait pas avec l'entraîneur.	Alongwaki ekipi na ye mpo azalaki koyokana na molakisi te.
Au revoir !	Olele!
Tom porte des lunettes.	Tom alati maneti.
Je sais que ce n'est pas vrai.	Nayebi ete ezali solo te.
Il ne faut pas se disputer avec une femme lorsqu'elle est fatiguée.	Koswanaka na mwasi te ntango alembi.
Quelle est ta décision ?	Mokano na yo ezali nini?
C'est quelque chose que ma mère a fait.	Ezali eloko moko oyo mama na ngai asalaki.
Pense à poster la lettre sur le chemin de l'école.	Okanisaka kotinda monkanda ntango okozala na nzela ya kelasi.
Quel est le meilleur plan, selon toi ?	Mwango ya malamu koleka ezali nini, na ndenge omoni?
Tom a couru aussi vite qu'il a pu.	Tom apotaki mbangu ndenge akokaki.
Aimez-vous discuter ?	Bolingaka kosolola?
Nous ne faisons rien.	Tozali kosala eloko te.
Je suis peut-être vieux, mais pas fou.	Nazali ntango mosusu mokolo, kasi liboma te.
Il me demanda si je connaissais son père.	Azali kotuna ngai soki nayebaki tata na ye.
Quand est-ce que ça commence ?	Ekobanda ntango nini ?
J'ai commencé à apprendre le chinois la semaine dernière.	Nabandaki koyekola lokota ya chinois uta mposo eleki.
Es-tu sûr que tu vas bien ?	Ozali mpenza malamu?
Le déjeuner est servi.	Biloko ebelemi mpo na koliya.
Je vois Tom.	Namoni Tom.
J'arrangerai ça.	Nakobongisa yango.
Elle demanda si j'avais besoin d'un taxi.	Atunaki ngai soki nazali na bosenga ya taxi.
Il peut le faire beaucoup mieux que moi.	Akoki kosala yango malamu koleka ngai.
Suivez simplement mon exemple.	Bolanda kaka ndakisa na ngai.
J'ai donné à Tom de nombreuses opportunités de le faire.	Napesaki Tom libaku mingi mpo nakosala yango.
Un petit gain vaut mieux qu'une grosse perte.	Mwa mbano moke eleki kobungisa mingi na motuya.
On ordonna aux forces britanniques de saisir les armes.	Bapesaki mitindo na mapinga ya ba britanniques ete babotola mandoki.
Je veux voir ce qui se produit.	Nalingi namona oyo ezali  kosalema.
J'ai fait mon travail.	Nasalaki mosala na ngai.
Elle cherche le portefeuille qu'elle a perdu.	Azoluka mwa libenga na ye abungisaki.
Tous mes enfants vont à l'école à Boston.	Bana na ngai nyonso bakendaka kelasi na Boston.
Mes parents t'adorent.	 Baboti na ngai balingi yo mingi.
Cette boîte est lourde.	Sanduku oyo ezali kilo.
Il a composé l'histoire.	Akomaki lisolo.
La vie en ville ne plaisait pas à Tom.	Bomoyi na engumba esepelisaki Tom te.
Linda va préparer du café.	Linda akolamba kafe.
Il ne s'agit pas d'argent.	Ezali mpo na mbongo te.
Les requins mangent des poissons.	Mbisi ya minene baliyaka mbisi.
Je veux m'assurer qu'il y en a assez.	Nalingi nazala na etingiya ete ezali ebele.
Nous jouâmes sur la plage.	Tosakanaka na libongo.
J'ai une importante mission pour vous tous.	Nazali na mosala moko ya motuya mpo na bino nyonso.
Cette règle ne s'applique pas à l'affaire.	Mobeko oyo basalelaka yango na mombongo te.
Tu te comportes comme un enfant.	Ozali na bizaleli lokola mwana.
Le restaurant était silencieux.	Restaurant ezalaki kimya.
Je ne peux pas venir à l'instant.	Nakoki koya sikawa te.
Est-il probable qu'il vienne ?	Ekoki kosalema ete aya?
Tout le monde à bord!	Moto nyoso akota!
Je ne sais presque rien sur ça.	Nayebi eloko te mpo na yango.
Tom peut aider.	Tom akoki kosunga.
J'ai un vélo.	Nazali na nkinga moko.
Je crains que ce ne soit la vérité.	Nazali kobanga ete ezala bosolo.
Je prendrai votre parti juste pour cette fois.	Nakokamata ngambo na yo kaka mpo na mbala oyo.
Je ferais n'importe quoi pour toi.	Nakosala manso mpo na yo.
Tu m'as tellement manqué !	Nazalaki na mposa na yo makasi!
Tom me comprenait.	Tom azalaki kososola ngai.
On s'entraide.	Tozali kosungana.
Ken a embrassé la fiancée de Tom.	Ken ayambaki makango ya Tom.
Il a du pognon.	Azali na mbongo.
Quand le chat n'est pas là, les souris dansent.	Ntango nyawu azali te, ba mpuku babinaka.
Dans de nombreux endroits du monde, il n’y a pas assez de nourriture pour satisfaire aux besoins de chacun.	Na bisika mingi na mokili, bileyi bizali mingi te mpo na kokokisa bosenga ya moto nyoso.
La mode est un cercle vicieux.	Elateli ezali zolongano.
Il nous faut un peu plus de temps.	Tosengeli na mwa ntango lisusu.
J'ai honte d'avouer que le travail n'est pas terminé.	Nazali na nsoni ya koloba ete mosala esili te.
J'ai beaucoup de choses à faire aujourd'hui.	Nazali na makambo mingi ya kosala lelo.
Je sais que j'aurais pu le faire mais je ne l'ai pas fait.	Nayebi ete nasengelaki kosala yango kasi nasalaki yango te.
Je m'y joindrai.	Nakosangana na yango.
Je savais que Tom ne voulait pas le faire, mais je voulais quand même qu'il le fasse.	Nayebaki ete Tom alingaki kosala yango te, kasi ata bongo nalingaki ete asala yango.
Tom a tourné la page quand il a rencontré Marie.	Tom abongolaki makanisi ntango akutanaki na Marie.
Tom écoutait le bruit de l'océan.	Tom azalaki koyoka makelele ya mbu.
L'avez-vous vu à la gare ce matin ?	Omonaki ye na gare na ntongo ya lelo?
J'avais mal à la tête donc je n'ai pas pu faire ça.	Nakoyoki moto mpasi nde nakokaki kosala yango te.
Tu ne peux pas utiliser le sien.	Okoki kosalela oyo ya ye te.
On a gagné le match.	Tolongaki lisano ya motopi.
Il se cacha derrière l'arbre.	Abombanaki na nsima ya nzete.
La femme s'est levée de la chaise. Et elle a jeté un coup d’œil à la porte.	Mwasi atelemaki na kiti. Mpe atalaki na ngambo ya ekuke.
Je ferai du beurre de cacahuètes.	Nakosala mwamba ya nguba.
Tom a dit qu'il n'avait pas faim.	Tom alobaki ete azalaki na nzala te.
Nous réparerons ceci.	Tokobongisa oyo.
On ne peut pas être à deux endroits en même temps.	Okoki kozwama bisilka mibale mbala moko te.
Elle était sur le point de l'appeler lorsqu'il entra par la porte.	Abelemaki kobengisa ye ntango akotaki na ekuke.
Quelle est ta couleur de cheveux naturelle ?	Nsuki na yo ya kobotama ezalaka langi nini?
Je me demande si Tom sait ce que Mary a fait.	Nazali komituna soki Tom ayebi oyo Mari asali.
Je ne suis pas du tout intéressé.	Etali ngai ata moke te.
Il tient un journal en anglais.	Asimbi zunale moko ya angele
Une douzaine d'arbres environ furent bientôt plantés.	Nzete mpene mpene na zomi na mibale ekolonama kala te.
Tout le monde le faisait.	Bato nyonso basalaki yango.
Je ne suis pas déçu.	Nayokisami mawa te.
Arrête de te la raconter ! Tu n'aurais pas les moyens d'acheter une maison pareille.	Kolobela na ntina na yango te! Okozala na makoki ya kosomba ndako lokola oyo te.
Je ne pense pas que des enfants devraient boire de la bière.	Nabanzi ete bana basengelaki komela masanga te.
Qu'as-tu l'intention de faire ?	Ozali kokana kosala nini?
Est-ce que ça en valait la peine?	Ezalaki mpenza na ntina?
Je suis chez une amie.	Nazali epai ya moninga moko ya mwasi.
Un jour, tu le regretteras.	Mokolo moko, okolela na ntina na yango.
Tu es très timide.	Olobaka mingi te.
Nous n'en sommes pas fiers.	Tozali na lolendo na ntina na yango te.
Ne perdras-tu pas la raison ?	Okobungisa elonga te?
Je ne peux pas faire ça.	Nakoki kosala yango te.
J'ai besoin de ça.	Nazali na mposa na yango.
Il va peut-être neiger ce soir.	Ntango mosusu matanga ekonoka na mpokwa ya lelo.
De combien de temps disposes-tu pour déjeuner ?	Osalaka ngonga boni mpo na koliya na ntongo ?
C'est tout ce que nous pouvons faire pour le moment.	Wana nde nyonso tokoki kosala sikawa.
As-tu jamais trouvé réponse à cette question ?	Naino ozwa eyano na motuna wana te ?
Mes amis m'ont invité à dîner.	Baninga na ngai babengisaki ngai mpo na koliya na midi.
Restez calme !	Vanda kimya!
Reprenons un peu notre souffle !	Tobatela mwa kimya!
Je pense que Tom croit tout ce que Marie lui dit.	Nabanzi ete Tom azali ndima nyonso oyo Marie azali kolobela ye.
Je vous laissai une note.	Natikelaki yo mwa monkanda.
Ton arme est-elle chargée ?	Bonduki na yo ezali na masasi ?
Elle se tint près de lui.	Atelemaki mpembeni na ye.
J'ai pensé que tu serais intéressé par cela.	Nakanisaki ete okosepela na yango.
Nous nous embrassâmes.	Toyambanaka.
Dis-moi, dis-moi !	Lobela ngai, lobela ngai !
D'où venez-vous au Canada ?	Bowuti wapi, na Canada ?
Avec toi, c'est l'été toute l'année.	Na yo elongo, ezali eleko ya moyi mbula mobimba.
Je veux changer le monde.	Nalingi nabongola mokili.
Il essaie de se débarrasser des fourmis.	Azali komeka komilongola ba fumba.
Le poison s'est répandu dans tout le corps.	Mbondo epanzani na nzoto mobimba.
J'ai peut-être heurté ses sentiments.	Ntango mosusu nazokisi makanisi na ye.
Je ne comprends pas pourquoi tu ne veux pas faire ça.	Nayebi te mpo na nini olingi kosala yango te.
Je crains de ne pas avoir d'expérience.	Nazali kobanga lokola nazali na zebi te.
Fais juste ce que je dis !	Sala kaka maye nalobi !
Tom doit être puni pour ce qu'il a fait.	Tom asengeli kozua etumbu mpo na maye asali.
Je ne crois pas que Tom ait fait ses devoirs lui-même.	Nandimi te ete Tom asalaki ba devoirs na ye ye moko.
Tom a montré à Marie la photo.	Tom alakisaki Marie bilili.
Tom ferait n'importe quoi pour attirer l'attention de Marie.	Tom akoki kosala nyonso mpo na kobenda bokebi ya Marie.
Personne ne se soucie de moi.	Moto moko te azali kotala ngai.
Les animaux ne sont pas des jouets !	Nyama bazali biloko ya kosakana na yango te !
Mon père a arrêté de fumer récemment.	Tata na ngai atiki kobenda likaya kala te.
Je veux simplement que les gens m'aiment.	Nalingi bobele ete bato balinga ngai.
La fille s'efforçait de retenir ses larmes.	Mwana mwasi akangaki motema mpo na kosopa pizoli.
Laissez-moi vérifier le manuel.	Tika ngai natala mokanda.
Cet incendie de forêt a une origine naturelle.	Moto oyo etumbi zamba ezali ya mokili.
Tom va le faire à temps.	Tom akosala yango na ngonga.
Tom a demandé un conseil à Maria.	Tom atunaki toli epai ya Maria.
Je sais que Tom est à moitié endormi.	Nayebi ete Tom alali ndambo.
Je ne pense pas que ce soit le meilleur moment pour parler à Tom.	Nabanzi ete oyo nde ngonga malamu mpo na kosolola na Tom.
Si elle avait été en vie, ma mère m'aurait aidé à ce moment-là.	Soki azalaki na bomoyi, mama na ngai alingaki asunga ngai na ntango wana.
La police enquête sur les causes de l'accident.	Pulusu esali na bolukiluki mpo na koyeba ntina ya likama.
Ce garçon a un corps fort et sain.	Mwana mobali oyo azali na nzoto makasi mpe kolongono.
Le studio est très petit, sans lieu où se cacher.	Ndako oyo ezali moke makasi, epai ya kobatama ezali te.
Je pensais que tu voudrais peut-être savoir.	Nakanisaki ete olingaki ntango mosusu koyeba.
Soyez vu par moi !	Tika ete namona yo !
Tom sortit un crayon.	Tom abimisaki ekomeli.
Les personnes âgées ont besoin de vivre pour quelqu'un.	Mikolo bazali na bonsenga ya kobika mpo na moto mususu.
Quelle est le sens de cela ?	Ntina na yango ezali nini?
Le temps est vraiment mauvais.	Ntango ezali mabe makasi.
Je suis très intéressé d'entendre ce que tu as à dire.	Nazali na mposa makasi ya koyoka maye olingi koloba.
Croyez-vous vraiment nécessaire de faire cela ?	Okanisi ete ezali na motuya ya kosala yango?
Ils se nourrissent surtout de lait.	Bileyi na bango mpenza ezali miliki.
Je ne suis qu'un garçon qui fait des erreurs.	Nazali kaka mwana mobali oyo asalaka mabunga mingi.
Il changea d'avis.	Abongolaki makanisi.
Peux-tu m'indiquer la bonne direction ?	Okoki kolakisa ngai nzela ya malamu ?
Tom est tombé dans l'eau.	Tom akwei na mayi.
Tu sais que Tom aime la bière.	Oyebi ete Tom alingi masanga.
Nous sommes sérieux.	Tozali na kimya.
Je bois.	Nameli.
Je ne veux pas être votre secret.	Nalingi kozala sekele na bino te.
Nous avons une bonne nouvelle.	Tozali na sango malamu.
Il viendra bientôt.	Akoya sikawa.
Plus de recherches sont nécessaires.	Bolukiluki mingi ezali na motuya.
J'ai entendu ça.	Nayokaki yango.
Je ne pouvais rien y faire.	Nakokaki kosala eloko te.
Pourquoi ne nous glissons-nous pas à nouveau à l'intérieur ?	Mpo na nini tozali komikotisa lisusu na kati te?
Tom se donne beaucoup de mal.	Tom azali komimonisa mpasi mingi.
Elle parle anglais.	Alobaka Ngelesa.
Vues d'avion, les petites collines paraissent plates.	Na kati ya mpepo soki otali libanda, ngomba ya mike, imonanaka nsemba.
Nous tentons de réduire les dépenses.	Tozali komeka kokitisa bobimisi mbongo.
Tu as dit qu'il y avait urgence.	Olobaki ete likambo ya lombango ezalaki.
Est-ce vraiment possible ?	Ekoki kosalama solo?
Tom a été surpris par ce qu'il a vu.	Tom akamwaki na oyo amonaki.
Tu veux bien me passer le sel, s'il te plaît?	Okoki kopesa ngai mungwa, soki olingi ?
En grandissant, il apprit à mettre les choses en perspective.	Ndenge azali kokola, ayekoli kobongisa makambo.
Vous n'avez à l'évidence pas le temps.	Na bosolo ozali na ntango te.
L'opéra commence à sept heures.	Opera ekobanda na ngonga ya sambo liboso ya nzanga.
Nous ne pouvons pas continuer à nous abuser.	Tokoki kokoba kosakanaka bongo na basusu te.
C'est un risque que tu dois simplement prendre.	Ezali likama oyo osengeli kaka koleka na yango.
C'est étrange à dire, mais il ne connaissait pas la nouvelle.	Ezali kokamwisa koloba yango kasi, ayebaki sango te.
Tom fut promu gérant.	Tom amatisami bokonzi akomi moyangeli.
Lire des livres est une de mes habitudes.	Kotanga buku ezali moko ya mimesano na ngai.
Tom a coupé la pomme en deux.	Tom akaboli mbuma biteni mibale.
Le fait est qu'ils sont trop jeunes.	Likambo ezali ete bazali bilenge penza.
Il a dû y aller.	Asengelaki kokenda.
Qui frappe à la porte?	Nani azali kobeta ekuke?
Tom n'a pas suffisamment d'argent pour acheter une voiture.	Tom azali na mbongo mingi te mpo nakosomba motuka.
Je me demande si je peux faire ça.	Nazo mituna soki nakoki kosala yango.
Tom m'a demandé comment se rendre à la poste.	Tom atunaki ngayi ndenge nini akende na poste.
Nous espérions que quelque chose d'intéressant surviendrait.	Tozalaki kolikya ete eloko moko ya malamu ekoya.
Il n'est pas facile de maîtriser l'anglais.	koloba anglais malamu ejali pete te.
Voudriez-vous me porter ceci au premier étage ?	Okoki komemela ngayi oyo na etage ya liboso?
La valeur des livres était telle qu'on en prenait le plus grand soin.	Motuya ya buku ezalaki na lolenge ete bazalaki kobatela yango makasi.
Il n'y a que cinq-cent-quatorze personnes qui soient allées dans l'espace.	Bazali bobele bato kama mitano na zomi na mineyi baye bakenda na mipepe.
Combien de temps faut-il d'ici à la gare ?	Ensengeli tango boni pona ko longwa awa kino na gare?
Il avait dit qu'il m'écrirait, mais il n'en fut rien.	Alobaki ete ako komela ngayi, kasi asalaki eloko te.
Tom et Marie n'ont pas été particulièrement gentils avec moi.	Tom na Marie bazalaki penza na boboto epayi na ngayi te.
Bien qu'il soit jeune, il est très prudent.	Atako azali elenge, azali na angele mingi.
Voulez-vous contrôler les pneus ?	Olingi kotala liyika?
Tu n'aimes pas le chien de Tom.	Olingaka mbwa ya Tom te.
Je n'ai pas du tout peur des chiens.	Ngayi na banga ba mbwa ata muke te.
Je devais rencontrer quelqu'un pour des affaires.	Esengelaki na kutana na moto moko mpona mombongo.
Quel âge a ce livre?	Buku oyo esali mbula boni?
La plupart des gens aiment regarder la telé.	Bato mingi balingaka kotala television.
Nous sommes pauvres, mais heureux.	Tozali babola, kasi na esengo.
Je parle anglais, et toi, quelle langue parles-tu ?	Nasololaka Anglais, bongo yo, osololaka kota nini?
Quel sorte de jeu est-ce ?	Oyo lisano ya ndenge nini?
Mon père travaille dans une usine.	Tata nangayi asalaka na Usine moko.
Il aime lire des livres.	Alingaka kotanga ba buku.
La vie n'est pas figée.	Bomoyi esuki te.
Il posa le livre sur la table.	Akitisaki buku likolo ya mesa.
